p_exposure,p_automatable,rationale,raw_ok,job_id
0.02,0.42,"Warehouse/material handling work with inventory systems; no AI/ML methods mentioned. Many tasks are routine, but physical inspections and handling limit automation.",1,3885842845
0.03,0.24,"ERP functional lead role; no AI/ML work mentioned. Some process/configuration tasks are routine, but significant human judgment remains.",1,3884441210
0.02,0.78,"Retail cashier role; no AI/ML work described, and core tasks are routine transactions and customer service.",1,3905325938
0.12,0.18,"Primarily sales/account management; mentions bioinformatics services but not using AI/ML personally. Core work seems relationship-driven, not routine.",1,9e0f13a82579
0.02,0.42,"Evidence maintenance role; no AI/ML work described. Many tasks appear standardized and routine, but not fully machine-replaceable.",1,5c52727a5ef4
0.01,0.93,Dishwashing/janitorial work doesn’t involve AI or data science; tasks are highly routine and physically repetitive.,1,c74b60db76f0
0.05,0.32,"Environmental sampling and documentation, not AI/ML work; some data collection/reporting tasks are moderately routine.",1,ffb1cb8cecae
0.02,0.18,"Sales-focused roofing business development; no AI/ML work mentioned, though some pipeline tasks are partially automatable.",1,72e7c76e667e
0.01,0.32,"No AI/ML work mentioned; mainly documentation, inspection, and routine quality-control tasks.",1,939f6ef9d1d8
0.02,0.05,"Quantum materials postdoc: experimental synthesis/measurement role, no AI or data-science duties mentioned, and tasks are highly specialized.",1,fd880adbac56
0.05,0.15,"Water engineering role; posting mentions no AI/ML/data science. Tasks sound specialized, not routine clerical work.",1,90e57c7d1ebc
0.06,0.12,"Analytical sciences role likely lab-focused; no explicit AI/ML/data-science work, and core tasks seem technical rather than fully routine.",1,3df7a7c935b9
0.08,0.22,"Analytical policy role with reporting tools, but no clear AI/ML work; some routine evaluation and reporting could be partly automated.",1,c26a66a023aa
