p_exposure,p_automatable,rationale,raw_ok,job_id
0.95,0.15,Explicitly a Data Scientist/Statistician role building ML/statistical models; requires creative problem-solving hard to automate.,1,3898177352
0.1,0.2,Pharma/biotech company description; no specific role tasks mentioned to assess AI use or automatability.,1,3884435831
0.35,0.08,"Uses in silico tools and data analysis, but core work is hands-on lab synthesis requiring expert judgment.",1,3906235373
0.08,0.15,"Traditional procurement management role; requires negotiation, leadership, relationships—not AI work, not easily automated.",1,3901392428
0.1,0.15,"Medical oversight, risk/benefit assessments, and regulatory judgments require expert clinical reasoning; minimal AI involvement indicated.",1,3901348665
0.04,0.35,Manual warehouse/inspection role; no AI involvement. Physical tasks limit full automation but data entry is automatable.,1,3885842845
0.1,0.2,"D365 F&O functional lead role; ERP implementation/configuration work, requires human judgment and stakeholder collaboration.",1,3884441210
0.03,0.65,Cashier role is routine transaction-based work; no AI involvement mentioned.,1,3905325938
0.15,0.15,"Sales/account management role; minimal AI use, requires human relationship-building and territory management.",1,9e0f13a82579
0.1,0.15,"Lab-based forensic DNA work is hands-on, physical, and judgment-intensive; minimal AI involvement indicated.",1,5c52727a5ef4
0.02,0.15,"Manual physical tasks (cleaning, dishwashing) require dexterity; no AI involvement whatsoever.",1,c74b60db76f0
0.05,0.2,"Field sampling, chemical data collection; hands-on environmental work, minimal AI involvement, physical tasks resist automation.",1,ffb1cb8cecae
0.05,0.15,"Sales/BD role focused on relationships, pipeline, and closing deals; minimal AI involvement, human judgment critical.",1,72e7c76e667e
0.05,0.15,Physical inspection and construction QC work requires on-site human judgment; minimal AI involvement.,1,939f6ef9d1d8
0.1,0.05,"Experimental physics research involving novel material synthesis and characterization; highly creative, hands-on lab work unlikely to be automated.",1,fd880adbac56
0.15,0.1,"Water engineering role; complex technical/design work, minimal AI involvement indicated in posting.",1,90e57c7d1ebc
0.25,0.15,Analytical sciences role involves lab/experimental work; some data analysis but primarily hands-on scientific methods.,1,3df7a7c935b9
0.15,0.1,"Analytical policy/advisory role with complex judgment; minimal AI use, highly human-intensive decision-making.",1,c26a66a023aa
