job_id,industry_key,year,title_clean,bert_exposure_score,bert_replace_score,description_excerpt,label_exposure,label_automatable,labeler,notes
9f3dae60136c,farming_forestry,2026,"Food Safety and Quality Assurance Team Member, Micro Kitchen",0.034,0.045,"The Food Safety & Quality Assurance (FSQA) Team Member provides support to all aspects of Food Safety & Quality Assurance within the facility; upholds all Whole Foods Market, USDA, and Hazard Analysis and Critical Control Points (HACCP) standards; and follows overall food safety and quality controls at the facility, including health, sanitation, and safety standards. Requirements The wage range for this position is $17.50-$25.40 Hourly, commensurate with experience. Whole Foods Market offers ""Whole Benefits"". Whole Benefits offers a wide range of benefits for Full and Part-Time Team Members, including eligibility for a store discount, paid time off, financial wellness, health & wellness support programs, and access to other Team Member perks. Eligibility for Whole Benefits is determined under the terms of the applicable Whole Benefits plan at a person’s date of hire and may vary based on work location, length of service, and job type (such as regular or seasonal).for benefit details. At Whole Foods Market, we provide a fair and equal employment opportunity for all Team Members and candidates regardless of race, color, religion, national origin, gender, pregnancy, sexual orientation",0,0,claude-draft,food-safety QA; on-site physical checks
351a84addf7f,farming_forestry,2026,Cook II PRN,0.013,0.004,"Introduction Experience the HCA Healthcare difference where colleagues are trusted, valued members of our healthcare team. Grow your career with an organization committed to delivering respectful, compassionate care, and where the unique and intrinsic worth of each individual is recognized. Submit your application for the opportunity below: Cook II PRN Chippenham Hospital Chippenham Hospital offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include: We are seeking a Cook II PRN for our team to ensure that we continue to provide all patients with high quality, efficient care. Did you get into our industry for these reasons? We are an amazing team that works hard to support each other and are seeking a phenomenal addition like you who feels patient care is as meaningful as we do. We want you to apply! Under general supervision, prepares, seasons, and cooks a wide variety of food items in appropriate quantities while following menus, recipes and production sheets while maintaining a clean and sanitary work area. Communicates with other production staff regarding menus, recipes and portion sizes. Pro",0,0,claude-draft,cook; physical
8af56e0e8b7e,farming_forestry,2026,Locomotive Services Quality Manager,0.095,0.025,"Job Purpose The Locomotive Service Quality manager is responsible for driving continuous improvement ensuring process adherence, and leading technical fleet performance reporting for the service account. This role serves as the leader of process focusing on work scope compliance, data quality and material process compliance while working cross-functionally with engineering, quality and other key stakeholders. This role is ideal for someone passionate about driving service quality, enhancing operational efficiency and fostering cross-functional collaboration to improve fleet performance and service outcomes. 11832BR Southlake Texas Progress Rail stands at the intersection of legacy and innovation—driving the future of rail with a pioneering spirit. Since its founding in 1983, the company has grown to become one of the world’s largest and most trusted providers of railroad products, services, and technologies. Today, Progress Rail delivers a comprehensive portfolio of cost-effective solutions to railway customers around the globe. From the rails themselves to the EMD® locomotives that ride them, the company’s products are in operation across more than 100 countries—powering progress ",0,0,claude-draft,quality manager; cross-functional leadership
eea3867f79cf,farming_forestry,2026,Relationship Banker - Smyrna Financial Center - Bilingual Spanish Required,0.004,0.001,"Job Description: At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. We do this by driving Responsible Growth and delivering for our clients, teammates, communities and shareholders every day. Being a Great Place to Work is core to how we drive Responsible Growth. This includes our commitment to being an inclusive workplace, attracting and developing exceptional talent, supporting our teammates’ physical, emotional, and financial wellness, recognizing and rewarding performance, and how we make an impact in the communities we serve. Bank of America is committed to an in-office culture with specific requirements for office-based attendance and which allows for an appropriate level of flexibility for our teammates and businesses based on role-specific considerations. At Bank of America, you can build a successful career with opportunities to learn, grow, and make an impact. Join us! This job is responsible for engaging clients in the lobby to educate and assist with conducting transactions through self-service resources, such as mobile banking, online banking, or ATM. Key responsibilities include accurately a",0,0,claude-draft,relationship banker; interpersonal
7d8bbd5f8f5c,farming_forestry,2026,Business Development & Flooring Sales,0.032,0.02,"Benefits Bonus based on performance Company car Flexible schedule Training & development : Littleton , CO Independent Contractor / Commission-Based Floor Covering International of SW Denver is a trusted, family-owned flooring business serving the SW Denver and Summit County area. We pride ourselves on offering an exceptional customer experience, premium flooring products, and top-quality professional installation. We are expanding our footprint and looking for a dynamic, self-motivated Territory Manager to join our team. The Sales Manager will be responsible for business development, and sales growth for the South West Denver area. This individual will generate new business, manage incoming leads, and build strong, lasting relationships with residential and commercial clients. Success in this role will be driven by a commitment to customer satisfaction, proactive outreach, and achieving sales goals. This is a remote position. Compensation: $50,000.00 - $80,000.00 per year Floor Coverings International is the #1 mobile flooring franchise in North America. Our unique shop-at-home model allows customers to get perfect new floors without ever leaving their home. Our 400,000+ customers ",0,0,claude-draft,BD/flooring sales; interpersonal
e0f606d1a2f9,farming_forestry,2026,Parts Specialist,0.068,0.281,"The Parts Specialist will provide all retail and installer customers with a high level of service. This position will also support store management in the accomplishment of assigned tasks. Bilingual candidates encouraged to apply. Essential Job Functions Follow and promote all company customer service programs, i.e. Hi-5, Low Price Guarantee, Rock the Call, Related Selling, Rock the Lot, etc. Promptly greet retail/walk-in customers in a friendly, courteous manner and assist them in their selection of merchandise. Assist managers and/or installer service specialists in serving the professional customers as needed and directed. Complete assigned company training relevant to position. Provide excellent service to customers calling the store on the phone by answering all calls according to company policy, accurately looking up parts and quote prices, recommending premium and related items, and offering the Low-Price Guarantee. Responsible for accurately maintaining and securing the cash drawer, accepting cash and/or checks, accurately making change, and processing credit card transactions. Process exchanges and returns for credit in a friendly manner, and in accordance with company pol",0,0,claude-draft,parts specialist; retail service + product knowledge
e094f6a71469,farming_forestry,2026,Environmental Project Engineer,0.054,0.004,"Position: Environmental Project Engineer, Honolulu, Hawaii Posted: 02/26/2026 We are seeking a motivated Project Geologist, Project Scientist, or Project Engineer with a strong background in environmental remediation to join our Technical Services Organization. This mid-career role offers the opportunity to contribute to high-profile projects, develop technical leadership skills, and grow into a Technical Lead role on small to moderately complex assignments. This position must report to the CAPE office in Honolulu, Hawaii. For 35 years, CAPE has delivered construction and environmental remediation solutions to governmental and private organizations nationwide. Our projects are high-profile environmental remediation projects involving cleanup of contaminated soil, groundwater, and sediment. The culture of our company is one of working together to achieve our clients’ objectives, company goals, and employees’ professional goals, and is succinctly and accurately defined as “We, Not Me” behavior. To ensure long-term, sustainable growth, we tailor our 3-year vision to be ahead of our industry in delivering our projects, align with our clients and team partners to improve our existing ma",0,0,claude-draft,environmental engineer; technical judgment
9ca9f5e9bc3f,farming_forestry,2026,Manufacturing Lead,0.148,0.019,"@HYVE Solutions, missions to help customers, business partners, and employees achieve success through shared goals, strategies, resources and technology solutions. Job Description Manufacturing Lead Hyve Solutions is a leader in the data center solutions industry, designing, manufacturing, and delivering custom Server, Storage, and Networking Solutions to the world’s largest Cloud, Social Media, and Enterprise companies. We pride ourselves on collaboration, innovation and thought leadership. Our team consists of diverse, forward-thinking individuals who dare to challenge the status quo, while working with many of the world’s biggest customers. Hyve Solutions is a part of Synnex Corporation, a Fortune 500 company. Become part of a team that thrives on excellence in a fast changing, high-growth technology environment! Hyve Solutions is looking for a detail-oriented, hands-on, results-driven individual with proven communication skills and a strong work ethic to work in a challenging, fast-paced, energetic environment. Participate in shift start-up meetings with your department team Communicate current priorities and targets, any ongoing issues, process updates, expectations, quality g",0,0,claude-draft,manufacturing lead; 'cloud' is customer domain not AI; leadership
5cd3ab0c3a55,farming_forestry,2026,National Account Manager,0.127,0.245,"Company Cogent Communications is a multinational, Tier 1 facilities-based ISP, consistently ranked as one of the top five networks in the world and is publicly traded on the NASDAQ Stock Market under the ticker symbol CCOI. Cogent specializes in providing businesses with high speed Internet access, private network services, IPv4 address leasing, optical transport services and data center colocation services. Cogent's facilities-based, all-optical IP network backbone provides IP services in over 228 markets globally. Since its inception, Cogent has unleashed the benefits of IP technology, building one of the largest and highest capacity IP networks in the world. This network enables Cogent to offer large bandwidth connections at highly competitive prices. Cogent also offers superior customer support by virtue of its end-to-end control of service delivery and network monitoring. Structured tenure pay increases and an uncapped commissions plan offers you unlimited earnings potential. Cogent offers a full benefits package including; Medical insurance, Dental insurance, Vision insurance, Paid Time Off (PTO) (20 days per year), Short and Long Term Disability, Life Insurance, Holidays, Fa",0,0,claude-draft,national account manager; sales
d9099f71cf65,farming_forestry,2026,Receiver,0.039,0.021,"Family Farm and Home is a family owned and operated company based out of Michigan. Our first stores opened their doors in April 2002. Currently we operate 71 retail locations in Michigan, Indiana, Ohio, Maryland and Pennsylvania . We cater to our customers' needs by supplying a wide variety of products in departments such as tools, hardware, automotive, pet, work and casual clothing, footwear, farm supplies, horse and livestock feed, bird food, lawn and garden, and alternative heating. Here at Family Farm and Home, our outstanding team members are dedicated to providing incredible product values and exceptional customer service to all customers. Because of this commitment, Family Farm and Home has experienced rapid growth on all levels. Our continued growth in the future is limitless due to our devoted staff and constantly growing group of loyal customers. Are YOU ready to join the FFH Family? The receiver at Family Farm and Home is accountable for the verification and processing of incoming/outgoing freight. The receiver is responsible for inventory accuracy and assisting the store manager in maintaining low shrink. The receiver will also ensure merchandise is properly and safely ",0,0,claude-draft,receiver; physical warehouse
3884438190,insurance,2024,Insurance Personal Lines Associate Agent - DC12734,0.014,0.013,"Insurance Personal Lines Associate Agent opening in Jackson Heights, NY. Provide customer service to Personal Lines and Commercial Lines clients, supporting clients post-sale; answers inbound phone calls and help clients or transfer them to appropriate party; take payments over the phone and in person; assist customers that walk in to the agency; work with clients on retention tools to help lower their cost of insurance; remarket accounts when needed; develop replacement cost estimators via the software provided; provide coverage information and explanations to clients. Ideal candidate has 3+ years insurance experience; ability to communicate orally and in writing with others to explain complex issues, receive and interpret complex information, and respond appropriately. NYS Property, Casualty License – Required; knowledge of insurance products and usages; knowledge of insurance markets and reference to markets; knowledge of insurance rating and underwriting procedures; knowledge of Applied client management systems: Epic; Bilingual Spanish – Required. (DC12734)",0,1,claude-draft,personal-lines agent; phone service/payments/data entry
3904935459,insurance,2024,Service Desk Assignment Specialist,0.049,0.083,"Description:JOB DESCRIPTIONThe Service Desk Assignment Specialist provides timely and accurate support correspondence, case routing, and overall support and escalation monitoring for the Hammer Tech team. The Service Desk Assignment Specialist will review information relayed from the customer and determine the best course of action in regard to the support type, resource assignment, and contact methodology for the client's support requirements. The Assignment Specialist will be responsible for monitoring Hammer Tech's ability to meet or exceed our Service Level Objectives and Agreements. The Assignment Specialist will also be responsible for managing their own personal queue of open cases. While this queue may or may not be technical in nature, it will require timely communication and follow-up to maintain a high-degree of customer satisfaction. The Assignment Specialist will also be required to proactively identify and take steps to review, seek additional information, route, and/or document any duplicate, similar, and/or otherwise unclear support requests to ensure the Service Desk Team has as much relevant information needed to seek support resolution effectively and efficiently",0,1,claude-draft,"service-desk assignment; case routing, routine"
3904722294,insurance,2024,"Loss Control Inspector Trainee - Chico, CA",0.018,0.002,"The Hartford Steam Boiler Inspection and Insurance Company is looking for Inspectors to join our Engineering Team! Loss Control Inspectors pride themselves on having the technical knowledge and experience to provide quality inspections, engineering services and business solutions. The goal is ensuring our customers avoid losses, and recover promptly from losses that do occur on insured equipment. Our Engineering department provides a full suite of services focused on identifying risk to a wide range of customers; from small dry cleaning operations to high risk, complex accounts such as large utility plants. Services include: Jurisdictional inspections of boilers and pressure vessels Property-casualty inspections and surveys Risk Assessment Surveys Claims Investigations Electrical risk management surveys This field based position is an integral part of our commitment to the quality and service we provide for our customers and to their equipment. The work is varied from day to day and is ideally suited to a self-motivated individual who can work independently. A successful inspector will have excellent communications skills and the ability to work with HSB clients and customers in a ",0,0,claude-draft,loss-control inspector; physical field inspection
3900947165,insurance,2024,Accident and Health Affinity Benefits Adjuster,0.061,0.082,"Excellence In Everything We Touch Position Summary Under general supervision, evaluates and settles travel and accident claims of modest to complex exposure (including fatalities) by investigating losses, interpreting coverage, and reporting obtained information in a timely and efficient manner, while maintaining adequate production levels. Claim types handled, included but not limited to: Accidental Death and Dismemberment, Trip Cancellation/Interruption, Collision Damage Waiver, Out of Country Medical Expense, Lost/Delayed Luggage. Responsibilities Examines travel and accident claims forms, policies and endorsements, client instructions and other records to determine coverages. Investigates claims by interviewing insureds, claimants, obtaining official reports, and by comparing claim information with evidence. Sets loss reserves. Prepares reports by collecting and summarizing information required by client, local, state and federal government and by Crawford. Settles claims by determining client’s coverages, liability, client’s instructions, and authority levels required by obtaining demands and making offers to claimants, issuing settlement checks, making filings with regulatory",0,1,claude-draft,benefits adjuster; high-volume claims processing
3884919161,insurance,2024,"Senior Manager, Expert Technology",0.674,0.003,"At Asurion, we don’t just redefine—we reinvent. We began by establishing a culture that rewards results and isn’t confined by hierarchy. As a result, we have achieved phenomenal growth.Today, this entrepreneurial spirit is as strong as ever. It’s in our DNA. We foster a culture where our team members are encouraged daily to make a difference—for our clients, customers, and themselves. Our dynamic and rewarding environment ensures that every team member can reach their full potential. This role will sit at the cutting edge of driving innovation and change for over 200 million Asurion customers. The Expert Technology Senior Manager is responsible for reinventing the way Asurion Experts work. You will help create internal tools and technology that drives performance and builds community. The Expert Technology Senior Manager will have a deep understanding of both Customer Solutions operations and enterprise technology to deliver the innovation that enables our short-term goals and long-term strategy. ESSENTIAL DUTIES AND RESPONSIBILITIES:Drive the design and delivery of a platform, group of products, or product domain from various technology teams for Customer SolutionsInfluence the te",0,0,claude-draft,"sr mgr expert tech; vague 'innovation', no explicit AI; leadership"
3898162867,insurance,2024,Senior Manager/Associate Director-Data Tranformation-Global High Growth Investment Management Firm!,0.338,0.02,"Global highly reputable asset management firm experiencing impressive growth is looking for a Data Transformation Senior Manager/Associate Director. The successful candidate will demonstrate a passion for data, data-related processes and systems, and will have extensive experience working with similar financial services firms. $140-$155k + 25% bonus**Hybrid 3 days/week in office* As the Associate Director, you will support the overall efforts to transform the firm into a data driven organization. Specifically, you will support the efforts in conceiving and developing data transformation initiatives, designed to translate senior leadership’s strategic vision and operating model changes, as well as the need to address data limitations, into viable action plans. You will lead the successful execution of these initiatives by providing data leadership in analyzing and triaging root causes, solutioning data limitations, closely partnering with functional leaders, data owners and data stewards, and subject-matter-experts (SMEs) across various subsidiaries, as well as external vendors and consultants as required. Responsibilities:Accountability for successful execution of assigned data tra",0,0,claude-draft,data-transformation mgr; data strategy/governance not AI/ML; leadership
3901357011,insurance,2024,Claims Appraiser - Auto Estimatics,0.035,0.046,"Overview Build your career at one of the top companies for professional growth in the U.S.! Khakis optional… At State Farm we invest in our employees by providing a competitive Total Rewards package: Starting salary is $68,787.06-$99,038.28 annually. Because work-life-balance is a priority at State Farm, compensation is based on our standard 38:45-hour work week! Salary offered is dependent on skills and qualifications, with the high end of the range limited to applicants with significant relevant experience. You are also eligible for: An annual bonus based on individual and enterprise performanceAnnual merit increases401(k) contributionPaid Time Off (PTO), plus: 5 days of Life Leave to take care of yourself and your family, Paid Volunteer Time, and an Annual Celebration Day to celebrate what’s important to you!Industry leading Tuition Assistance ProgramsWellness and mental health programs Discounts from hundreds of retailers through our Perks at Work program And more! This position is located in Vallejo, Fairfield, Vacaville, Martinez, Concord, or Pleasant Hill, CA. Competitive candidates should reside within a commutable distance of this territory. The Appraiser team works remote",0,1,claude-draft,auto claims appraiser/estimatics; routine estimation
3905831703,insurance,2024,Sales Development Representative,0.222,0.13,"Embark on the path to become a Sales Development Representative in the healthcare sector, cultivating the skills to effectively promote sales of healthcare solutions (NO License Required). Delve into exclusive opportunities with the perks of remote flexibility, attractive commissions, and an impressive 98% client retention rate. No license is required, simplifying the onboarding process. As a non-profit organization, we ensure a seamless transition, allowing you to experience immediate income, monthly bonuses, and upfront commissions. Initiate your sales development journey with our specialized Training program. Set yourself apart as a Sales Development Representative by skillfully advancing deals and providing top-notch service, supported by our exceptional client retention rate. Trust in our established legacy dating back to 2008, and receive weekly compensation aligned with your clients' payment schedules. Maximize your potential by presenting tailored solutions to individuals and businesses, ensuring year-round accessibility to healthcare benefits. Plans commence at competitive rates in 2024, offering substantial savings for clients. No state license is required, enabling you t",0,0,claude-draft,sales development rep; interpersonal sales
3904932799,insurance,2024,Sr. PeopleSoft Developer,0.039,0.034,"Fulltime opportunity for a Sr. PeopleSoft Developer. This is a Hybrid role and requires onsite at least one day a week. Job Description: The Sr. PeopleSoft Developer works with the business to analyze, develop and implement business critical solutions utilizing analytical skills and PeopleSoft technologies. Will collaboration with other departments to determine system objectives. Participate in enterprise application implementations, enhancements, upgrades, maintenance and support. Maintain required knowledge in their respective business and application areas. Leverage best practice software development lifecycle standards, leverages change management methodologies to reduce risk and allow for disaster recovery. Required Skills & Qualifications: Bachelor’s degree required.Minimum 5 years of PeopleSoft Development experience with HCM, Finance and Supply Chain - 9.2, Tools 8.58 Minimum 5 years technical experience: PeopleCodeApplication EngineComponent InterfaceIntegration BrokerXLMFluid The client cannot sponsor a Visa. Candidates must be a US Citizen or Green Card Holder",0,0,claude-draft,PeopleSoft developer; ERP dev not AI; technical judgment
3904362586,insurance,2024,Health Solutions Consultant/Sr. Consultant,0.059,0.008,"Aon is looking for a Health Solutions Consultant/Sr. Consultant in our San Francisco Location Are you intellectually curious with a passion to tackle problems? Do you enjoy a flexible and collaborative, team-based environment where you are always learning and growing? If yes, Aon is the company for you! As part of a leading global professional services firm, you will help empower results for our clients by delivering innovative and effective solutions supporting health and welfare benefits strategies. We are building our Health Solutions team with the best talent and will consider phenomenal candidates in San Franvisco. This is a hybrid role with the flexibility to work both virtually and from a local office. Aon is in the business of better decisions At Aon, we shape decisions for the better to protect and enrich the lives of people around the world. As an organization, we are united through trust as one inclusive, diverse team, and we are passionate about helping our colleagues and clients succeed. What The Day Will Look Like In this position, you will support the Lead Consultant on some client assignments and/or act as the Lead Consultant and own project management to support th",0,0,claude-draft,health-solutions consultant; advisory judgment
989f28775547,insurance,2026,Head of Primary Casualty Underwriting,0.086,0.006,"MSIG USA continues to grow! Company Overview MSIG USA is the US-based subsidiary of MS&AD Insurance Group Holdings, Inc., one of the world’s top P&C carriers and a global Class 15 insurer, with A+ ratings and a reach that spans 40+ countries and regions. Leveraging our 350-year heritage, MSIG USA brings the financial strength, expertise, and global footprint to offer commercial insurance solutions that address your business’s unique risks. Responsible for leading the strategic direction, development, and execution of the Primary Casualty underwriting portfolio. The role ensures profitable growth, underwriting discipline, and innovation while overseeing the multinational reverse flow business and spearheading the launch of a new retail direct channel. At MSIG USA, strength comes from experience — and vision. Backed by a 350-year global legacy, we are forging a path forward in specialty insurance with the same stability and discipline that define our foundation. We are focused on innovation that matters: data-driven, client-focused, and built for long-term impact. You’ll join a company that values performance, integrity, and purposeful growth. Your role here is more than a job — it’s",0,0,claude-draft,head of underwriting; strategic leadership
