job_id,industry_key,industry_label,year,title_clean,source_platform,bert_exposure_score,bert_replace_score,bert_exposure,bert_replace,gpt_exposure_score,gpt_replace_score,gpt_exposure,gpt_replace,period
fd2f0d366134,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Clinical Operations Manager- NICU- Simon Family Tower,linkedin,0.0189952757209539,0.0023385679814964,0,0,0.01,0.08,0,0,2026
231698171999,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Intellectual Property Associate,linkedin,0.5536184906959534,0.070296511054039,1,0,0.08,0.12,0,0,2026
e463785e6588,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,New Patient Coordinator (Pilsen),linkedin,0.1577977985143661,0.2004334926605224,0,0,0.02,0.45,0,0,2026
1a9bf082bc66,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Technical Customer Success US,linkedin,0.3118033409118652,0.3168798387050628,0,0,0.15,0.4,0,0,2026
341d8a1d6225,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Associate Staff Scientist,linkedin,0.2008392512798309,0.0575297065079212,0,0,0.08,0.22,0,0,2026
a5b1dcbd8a2a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Clinical Development Senior Medical Director, Breast Oncology",linkedin,0.0482694059610366,0.0011306297965347,0,0,0.12,0.08,0,0,2026
4d61e3cbb7b2,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Global Internal Audit Senior Manager- Strategy & Professional Practices,linkedin,0.1373979747295379,0.1019126996397972,0,0,0.02,0.24,0,0,2026
9207fb4caf58,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Clinical Scientist Ultrasound,linkedin,0.6490134000778198,0.0441331751644611,1,0,0.08,0.22,0,0,2026
6cd71afe92af,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Project Coordinator | Medical Communications | Publications | Contract Role | US Based | Remote | 5 Days Per Week | Flexible Hourly Rate:,linkedin,0.3623356521129608,0.0497077666223049,0,0,0.02,0.65,0,1,2026
0055e6500b35,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,PST,linkedin,0.1778589338064193,0.1937070935964584,0,0,0.02,0.22,0,0,2026
d377104c1e8a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Lab Technician - Operations & Product Development,linkedin,0.4752306938171386,0.0021910308860242,0,0,0.05,0.35,0,0,2026
b15dbba04cbc,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Manager-LBA Project Scientist,linkedin,0.0186681617051363,0.0702667236328125,0,0,0.02,0.18,0,0,2026
0f333e9a969a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Assistant Manager-Clinical Operations-NICU,linkedin,0.0799378231167793,0.0456200987100601,0,0,0.02,0.18,0,0,2026
f8316fd7c474,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Senior Manager, Technical Program Management",linkedin,0.0602471455931663,0.0059769251383841,0,0,0.03,0.18,0,0,2026
379bca1b0033,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Part Time Hospital Reference Test Clerk,linkedin,0.0403655990958213,0.0007096469053067,0,0,0.02,0.82,0,1,2026
c0c724cc87c1,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Principal, AI Strategy and Advanced Analytics",linkedin,0.9851277470588684,0.1064748540520668,1,0,0.98,0.08,1,0,2026
5fb5713e17a3,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Client Service Senior Manager,linkedin,0.2383619546890258,0.0140290251001715,0,0,0.18,0.27,0,0,2026
2e9785ff7493,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Breast Medical Science Liaison/Sr Medical Science Liaison - Philadelphia,linkedin,0.3979284167289734,0.0024331212043762,0,0,0.02,0.12,0,0,2026
589cd28801f3,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Senior Clinical Data Manager,linkedin,0.2512742578983307,0.0294679328799247,0,0,0.07,0.32,0,0,2026
90e57c7d1ebc,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Senior Wastewater Process Engineer,linkedin,0.4283809065818786,0.0817163735628128,0,0,0.04,0.1,0,0,2026
dd450153e875,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Principal, Process Controls Engineer",linkedin,0.2298469692468643,0.0317095331847667,0,0,0.08,0.12,0,0,2026
d5e17aa62007,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Engineer-Films,linkedin,0.0373971201479435,0.0293593667447567,0,0,0.08,0.24,0,0,2026
96a7d7cfc66a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Research Chemical Engineer,linkedin,0.2030759453773498,0.0134769733995199,0,0,0.07,0.14,0,0,2026
2a2979f7c67c,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Controls Engineer,linkedin,0.2859559655189514,0.3814174234867096,0,0,0.02,0.27,0,0,2026
b8cb782b80f7,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Industrial Wastewater Staff Process Mechanical Engineer,linkedin,0.3102242946624756,0.0071628587320446,0,0,0.02,0.12,0,0,2026
8600c69c3d6c,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Senior Process/Specialty Engineer - PyroMet,linkedin,0.0451102368533611,6.979097815928981e-05,0,0,0.02,0.08,0,0,2026
4c6468c1974d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Engineer,linkedin,0.2005423307418823,0.174039825797081,0,0,0.03,0.22,0,0,2026
8db2576556b8,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Senior Process Engineer – Sterile Fill-Finish,linkedin,0.0715880766510963,0.0121935745701193,0,0,0.02,0.05,0,0,2026
4a75b1481307,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Principal/Senior Engineer, Process",linkedin,0.7232179045677185,0.0576738230884075,1,0,0.03,0.12,0,0,2026
f93dbdb8c4c7,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Process Engineer- East Plant- Decatur, IL",linkedin,0.0499505028128623,0.0082154301926493,0,0,0.06,0.18,0,0,2026
da5eabdf92b6,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Engineer Level 2 - R10232458,linkedin,0.1127101108431816,0.0197885110974311,0,0,0.04,0.18,0,0,2026
8e904cb5171b,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Engineer 4,linkedin,0.1425477564334869,0.0064064445905387,0,0,0.08,0.22,0,0,2026
811cfa236423,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Engineer II,linkedin,0.7005623579025269,0.2740357518196106,1,0,0.12,0.22,0,0,2026
ac8824cf74d7,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Research Engineer,linkedin,0.106441929936409,0.0235101170837879,0,0,0.14,0.09,0,0,2026
4e896146c53b,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Field Application Engineer (FAE),linkedin,0.0667782798409462,0.0194445215165615,0,0,0.03,0.18,0,0,2026
6ef5cdaf5726,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Manufacturing Leadership Rotational Program (GELP),linkedin,0.6459726095199585,0.1729124039411544,1,0,0.18,0.28,0,0,2026
cbb0a74b00f2,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Entry Level Scientist - Biochemistry,linkedin,0.2238777577877044,0.3118777275085449,0,0,0.02,0.45,0,0,2026
03fea1468365,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Manufacturing Science and Technology (MSAT),linkedin,0.209247350692749,0.0207604337483644,0,0,0.05,0.08,0,0,2026
5dc2742dc657,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Neutronics Analysis Engineer,linkedin,0.1491135358810424,0.0121446615085005,0,0,0.26,0.12,0,0,2026
8411355c9146,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Mold Analyst - Eurofins Built Environment Testing East - Fort Mill, SC",linkedin,0.0502071417868137,0.0345033444464206,0,0,0.02,0.38,0,0,2026
5e1a66d49a5a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Materials Engineer,linkedin,0.1331682652235031,0.0121163772419095,0,0,0.05,0.1,0,0,2026
b13a8369c14d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Validation Engineer,linkedin,0.1817289888858795,0.0705826133489608,0,0,0.03,0.22,0,0,2026
ceec863bea52,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Fall 2026 TDS Cell and Gene Co-op,linkedin,0.51011061668396,0.0284281484782695,1,0,0.12,0.28,0,0,2026
1c69bded0f54,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Sr Lab Tech Ops,linkedin,0.1544803231954574,0.0817227885127067,0,0,0.03,0.35,0,0,2026
06b1fdc757d6,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Systems Validation Engineer,linkedin,0.537247896194458,0.0989768803119659,1,0,0.02,0.35,0,0,2026
12b9a8df08f0,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Purchasing Specialist,linkedin,0.0519485920667648,0.0037202865350991,0,0,0.02,0.82,0,1,2026
3df7a7c935b9,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Analytical Sciences Leadership Rotational Program (GELP),linkedin,0.5527575612068176,0.1239315792918205,1,0,0.12,0.18,0,0,2026
939f6ef9d1d8,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Quality Assurance & Quality Control Specialist,linkedin,0.0184972714632749,0.0047649461776018,0,0,0.02,0.34,0,0,2026
e90f549df194,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Regional Support Specialist - Oak Lawn, IL",linkedin,0.0272082611918449,0.0095225498080253,0,0,0.03,0.55,0,1,2026
acb1d29a84c7,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Lab Accessioner,linkedin,0.859704315662384,0.4236598014831543,1,0,0.02,0.78,0,1,2026
3f3a9d44da3d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,TechEdge (TE) Applications Engineer III - (E3),linkedin,0.6876144409179688,0.0866770222783088,1,0,0.08,0.22,0,0,2026
332a70a9614e,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Test Analust,linkedin,0.3921673595905304,0.0519155375659465,0,0,0.03,0.45,0,0,2026
024da397f628,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Cytotechnologist,linkedin,0.3593301177024841,0.0113740265369415,0,0,0.01,0.42,0,0,2026
b5c74706ef6d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Regional Account Manager, aHUS, Tacoma - Spokane WA",linkedin,0.4499333798885345,0.148907333612442,0,0,0.02,0.3,0,0,2026
e6552728f3d6,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Retail Sales Associate,linkedin,0.0751662701368331,0.0072379792109131,0,0,0.01,0.78,0,1,2026
b13965e51d7d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Clinical Laboratory Scientist,linkedin,0.1457809656858444,0.0192688517272472,0,0,0.03,0.18,0,0,2026
5ad3917b9f4c,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Senior Pharmaceutical Sales Specialist - Respiratory Specialty - Hartford N, CT",linkedin,0.4969211518764496,0.0110475094988942,0,0,0.03,0.62,0,1,2026
501fa8e5001e,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Regional Sales Manager - Acoustics/Noise Control Experience Required,linkedin,0.123030237853527,0.0051451167091727,0,0,0.04,0.18,0,0,2026
94c11d894636,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Womens Health Business Specialist – Bloomington, IL",linkedin,0.1256019920110702,0.0066940360702574,0,0,0.01,0.32,0,0,2026
6a8de1186de1,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Key Account Director - Heart Failure,linkedin,0.2765788733959198,0.0203774217516183,0,0,0.04,0.08,0,0,2026
48bf9915852e,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Clinical Toxicology Certifying Scientist - 2nd Shift,linkedin,0.6299108862876892,0.0261001586914062,1,0,0.02,0.68,0,1,2026
1a65bc7a6155,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Job Posting Title Pest Control Technician,linkedin,0.1421204507350921,0.008001553826034,0,0,0.01,0.18,0,0,2026
4fbdaee3a8fa,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,In-Home Sales Specialist,linkedin,0.0281843207776546,0.0013500419445335,0,0,0.01,0.55,0,1,2026
cceba5a0ec89,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Professional (Senior) Sales Representative, Diversified Therapeutics – Jersey City, NJ",linkedin,0.0788909420371055,0.0049367835745215,0,0,0.02,0.83,0,1,2026
55c07e1ab727,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Medical Science Liaison,linkedin,0.2492046058177948,0.0154503099620342,0,0,0.14,0.22,0,0,2026
80bf0f236ec4,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Commercial Strategy Consultant,linkedin,0.9604108333587646,0.0572275631129741,1,0,0.63,0.12,1,0,2026
91c35831c7d9,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Senior Therapeutic Area Specialist - Oncology/Hematology- Tampa, FL",linkedin,0.1988537758588791,0.0040334472432732,0,0,0.02,0.12,0,0,2026
459bd6c352f8,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Travel Cath Lab Technologist - $3,206 per week",linkedin,0.3235072493553161,0.0794277712702751,0,0,0.01,0.12,0,0,2026
87c7a6b52a5f,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Senior Therapeutic Area Specialist, Cardiovascular Community - Spring Hill, FL",linkedin,0.1816971153020858,0.0029806308448314,0,0,0.06,0.21,0,0,2026
cb34a215ac0c,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Travel Cath Lab Technologist - $2,706 per week",linkedin,0.2480705380439758,0.0520240887999534,0,0,0.01,0.12,0,0,2026
64787fce316e,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Full-time Nabisco Merchandiser/Order Writer,linkedin,0.0295415241271257,0.0149206835776567,0,0,0.01,0.76,0,1,2026
a1510f582b92,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Travel Cath Lab Technologist - $3,180 per week",linkedin,0.3426886200904846,0.0791512057185173,0,0,0.02,0.15,0,0,2026
2684a7d8e004,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Interactive Partner, Healthcare",linkedin,0.3471449315547943,0.0127920238301157,0,0,0.12,0.18,0,0,2026
5b6d16b8ab45,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Organic Chemist,linkedin,0.7032193541526794,0.2432124316692352,1,0,0.02,0.08,0,0,2026
adc9d40b0d3e,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Design Engineer,linkedin,0.36915323138237,0.0011594475945457,0,0,0.02,0.27,0,0,2026
7c2242d9f429,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Engineer,linkedin,0.9818234443664552,0.1900731772184372,1,0,0.08,0.12,0,0,2026
496d9a0f950c,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Logistics Process Engineer,linkedin,0.2896915674209595,0.0207105614244937,0,0,0.03,0.08,0,0,2026
37dad1961507,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Etch Process Engineer - Nights,linkedin,0.0286756101995706,0.0342986360192298,0,0,0.07,0.28,0,0,2026
36a729a7aa7a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Engineer - Powder Metallurgy,linkedin,0.9634243845939636,0.3318793773651123,1,0,0.08,0.22,0,0,2026
372d7c30933b,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Controls Engineer,linkedin,0.5419978499412537,0.2447159737348556,1,0,0.12,0.18,0,0,2026
4d57987929d8,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Welding Process Engineer,linkedin,0.6262834072113037,0.0195037852972745,1,0,0.03,0.18,0,0,2026
38ef82c331ac,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,New College Grad - Photolithography Process Engineer,linkedin,0.3708596229553222,0.3344145119190216,0,0,0.05,0.35,0,0,2026
c431598dc429,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Controls Engineer,linkedin,0.8066985011100769,0.3688006103038788,1,0,0.04,0.28,0,0,2026
86713276a3b6,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Senior Process Design Engineer,linkedin,0.1008153483271598,0.002926567569375,0,0,0.04,0.06,0,0,2026
498ffcedae7a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Cleans Process Engineer - Days,linkedin,0.0229407362639904,0.005025568883866,0,0,0.08,0.12,0,0,2026
687236b2d2b4,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Industrial Wastewater Process Mechanical Engineer,linkedin,0.09103924036026,0.0439061596989631,0,0,0.02,0.08,0,0,2026
b2952a8f3338,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Process Engineer II,linkedin,0.1270423084497451,0.005461168475449,0,0,0.12,0.18,0,0,2026
5efb4f666587,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Medical Technologist - Overnight,linkedin,0.0838589966297149,0.1807372421026229,0,0,0.05,0.18,0,0,2026
e662f571f8c5,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Document Control Specialist - Quality,linkedin,0.0764237716794014,0.1164161935448646,0,0,0.02,0.82,0,1,2026
7db4897dc5ea,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Remote Network Technician,linkedin,0.0450576022267341,0.1541262120008468,0,0,0.08,0.36,0,0,2026
fa324057110e,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Application Security Architect,linkedin,0.7644058465957642,0.2073798179626464,1,0,0.05,0.1,0,0,2026
1a060a8ae15a,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Product Support Scientist,linkedin,0.1314141005277633,0.0105472514405846,0,0,0.12,0.22,0,0,2026
82b18ba4ac37,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Quality Technician,linkedin,0.3282709121704101,0.1011646911501884,0,0,0.02,0.12,0,0,2026
8c4585404e61,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Data Hunter/Librarian,linkedin,0.5558522939682007,0.0321972891688346,1,0,0.08,0.72,0,1,2026
7ee2781a5397,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Quality Assurance Coordinator / M-F (8a-4:30p),linkedin,0.3408147394657135,0.0519765168428421,0,0,0.02,0.41,0,0,2026
94cf638dee4f,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Research Technician I (Bornhorst Lab),linkedin,0.1050239354372024,0.0663315504789352,0,0,0.03,0.12,0,0,2026
d979895d4e39,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Research Scientist (Part-Time OPS),linkedin,0.796859860420227,0.0210850331932306,1,0,0.28,0.12,0,0,2026
1419f26c199d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,CRA Loan Specialist,linkedin,0.0665559843182563,0.0201841108500957,0,0,0.01,0.35,0,0,2026
5a659c41d537,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,IDCS Quality Control Technician,linkedin,0.0477741882205009,0.0931334719061851,0,0,0.02,0.86,0,1,2026
1144ea9da058,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Software Implementation Consultant,linkedin,0.1627620607614517,0.0692116096615791,0,0,0.08,0.64,0,1,2026
e351488f0aaf,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,NetSuite Developer,linkedin,0.0637161061167717,0.0008976713870652,0,0,0.08,0.28,0,0,2026
20d7506703d9,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Postdoctoral position in Structural Biology – Scott Blanchard Lab,linkedin,0.0326132588088512,0.0046714060008525,0,0,0.42,0.18,0,0,2026
59617100cd01,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Neuroscience Account Manager (Psychiatry) - Seattle, WA",linkedin,0.2093657553195953,0.1931128501892089,0,0,0.02,0.62,0,1,2026
66a8c5a6ab49,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Risk Management & Insurance Analyst,linkedin,0.1669035106897354,0.0009323444101028,0,0,0.08,0.34,0,0,2026
b06f043b680c,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Inside Sales Associate,linkedin,0.0909694880247116,0.0032162084244191,0,0,0.02,0.72,0,1,2026
72e7c76e667e,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Business Development Rep - Commercial Roofing,linkedin,0.0758118331432342,0.0058611868880689,0,0,0.03,0.12,0,0,2026
5201b652160f,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Medical Oncologist | Winston-Salem Market, NC",linkedin,0.8096031546592712,0.1295806765556335,1,0,0.05,0.12,0,0,2026
4cef5a9ada4b,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Regional Sales Manager (Com. & Res. Gates),linkedin,0.0494857244193553,0.6631859540939331,0,1,0.05,0.18,0,0,2026
da5107598277,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Business Intelligence Sales Specialist III, Google Cloud",linkedin,0.3023883104324341,0.0633958280086517,0,0,0.22,0.18,0,0,2026
b03a46482f22,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Cell Technician - 1st shift,linkedin,0.025351433083415,0.0826049298048019,0,0,0.02,0.46,0,0,2026
883be6fba3b7,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Nobel Biocare Territory Representative (Memphis - North MS),linkedin,0.0358912125229835,0.018095776438713,0,0,0.01,0.12,0,0,2026
15f0567ffa19,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Paralegal, Contract Management & Legal Operations",linkedin,0.7559974193572998,0.7290002703666687,1,1,0.02,0.72,0,1,2026
5f5386bf7c55,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Laboratory Assistant (Nights) - Maui Memorial Medical Center,linkedin,0.0436258167028427,0.056457445025444,0,0,0.03,0.78,0,1,2026
ba39f78dd0ff,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Live Hanger - 2nd Shift,linkedin,0.2480715364217758,0.1264581382274627,0,0,0.0,0.92,0,1,2026
b7691065da2e,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Clinical Project Manager, Immuno-Oncology - IQVIA Biotech",linkedin,0.2476063221693039,0.0613752342760562,0,0,0.08,0.18,0,0,2026
850c2fcf1518,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Field Sales Representative,linkedin,0.0878707021474838,0.0486948378384113,0,0,0.02,0.48,0,0,2026
3dd8c3981994,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,ILD Sales Consultant I/II/Sr. - West Virginia (North),linkedin,0.1009737327694892,0.0305422600358724,0,0,0.01,0.55,0,1,2026
471110e1de30,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Lab Tech 2,linkedin,0.1951457858085632,0.5326946377754211,0,1,0.02,0.63,0,1,2026
0e5bf26d69d9,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Registered Nurse (RN), Med/Surg, Observation, Neuro",linkedin,0.3298714756965637,0.0876091718673706,0,0,0.03,0.12,0,0,2026
e929eca1d1be,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,"Distinguished Scientist (Executive Director), Asset Development Team Leader",linkedin,0.2753646969795227,0.0154667757451534,0,0,0.08,0.05,0,0,2026
826378d4b754,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Director of Rehabilitation DOR Sign on Available,linkedin,0.1444980949163437,0.0055938372388482,0,0,0.01,0.12,0,0,2026
dc979623249d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Director of Rehabilitation,linkedin,0.1250753104686737,0.0052659017965197,0,0,0.02,0.06,0,0,2026
2b285b88ce55,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Administrative Services Associate - Global Clinical Supplies Operations,linkedin,0.154256671667099,0.0345098190009593,0,0,0.02,0.83,0,1,2026
5c52727a5ef4,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Forensic DNA Scientist 1 - Evidence Coordinator,linkedin,0.3311800062656402,0.0052775675430893,0,0,0.03,0.72,0,1,2026
064988f3b009,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Part Time Veterinary Technician,linkedin,0.030693968757987,0.0104695204645395,0,0,0.02,0.08,0,0,2026
f1193b0a1d4d,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Manager Emergency Services,linkedin,0.046195201575756,0.0149017358198761,0,0,0.02,0.12,0,0,2026
158d8c0cc074,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,Environmental Services Technician,linkedin,0.0186022780835628,0.00481269787997,0,0,0.01,0.72,0,1,2026
08c331c9181f,pharma_chem,Pharmaceutical / Chemical Manufacturing,2026,RN - Home Care -,linkedin,0.1806080937385559,0.039351001381874,0,0,0.01,0.08,0,0,2026
