p_exposure,p_automatable,rationale,raw_ok,job_id,model,provider,construct_target
0.03,0.18,"No AI/ML work described; mostly hands-on seed handling, field management, and compliance tasks with some routine inventory work.",1,3884831631,gpt-5.4-mini,openai,automatability
0.08,0.62,"Uses computers/iPads and automated equipment, but no AI/ML work; many repetitive plant, warehouse, and sorting tasks.",1,3901950699,gpt-5.4-mini,openai,automatability
0.02,0.12,"Maintenance management role; posting emphasizes operations, teamwork, and sustainability, with no AI, ML, or data-science work mentioned.",1,3895550294,gpt-5.4-mini,openai,automatability
0.03,0.18,"Process mapping and quality improvement role; no AI/ML work mentioned, and tasks are partly structured but still cross-functional.",1,3902756354,gpt-5.4-mini,openai,automatability
0.01,0.78,"No AI/ML work described; tasks are repetitive material handling, inventory tracking, and order interpretation.",1,3903462811,gpt-5.4-mini,openai,automatability
0.02,0.28,"No AI/ML work mentioned; mostly physical plant, warehouse, and equipment tasks with some routine computer use.",1,3887594590,gpt-5.4-mini,openai,automatability
0.01,0.78,"Manual groundskeeping and maintenance; no AI or data work mentioned, tasks are routine and repetitive.",1,3900966122,gpt-5.4-mini,openai,automatability
0.03,0.18,"Operations leadership and planning role; no AI/ML work mentioned, though some scheduling and monitoring tasks are partially automatable.",1,3905835109,gpt-5.4-mini,openai,automatability
0.02,0.01,"Emergency veterinary care; no AI/ML or data-science work described, and core clinical judgment is not routine or easily automated.",1,3889759495,gpt-5.4-mini,openai,automatability
0.05,0.18,"Operations internship with basic analysis; no AI/ML work described, and most tasks are hands-on logistics and inspection.",1,3902748502,gpt-5.4-mini,openai,automatability
0.03,0.18,"Treasury finance role uses Excel and reporting, with no mention of AI/ML; tasks are analytical but not highly routine.",1,3887595473,gpt-5.4-mini,openai,automatability
0.03,0.42,"Marketing content strategy role; no AI/ML work mentioned. Many planning and calendar tasks are routine, but strategy and coordination remain human-heavy.",1,3900945315,gpt-5.4-mini,openai,automatability
0.01,0.12,"No AI/ML work described; mostly hands-on landscaping, though some routine maintenance tasks are partially automatable.",1,3905251801,gpt-5.4-mini,openai,automatability
0.03,0.18,"Manufacturing technology engineering; no AI/ML mention. Some process work is technical, but much likely hands-on and nonroutine.",1,3906225754,gpt-5.4-mini,openai,automatability
0.03,0.62,"Standard accounting, reporting, reconciliation, and compliance work; no AI/ML mention, many tasks are structured and rule-based.",1,3905871759,gpt-5.4-mini,openai,automatability
0.08,0.22,"Technology support and training, but no AI/ML or data-science work; mostly coordination, compliance, and logistics administration.",1,3260455681,gpt-5.4-mini,openai,automatability
0.02,0.18,"Feed mill operations, compliance, and staff management dominate; no AI/ML work described, and tasks require physical oversight and judgment.",1,3905238505,gpt-5.4-mini,openai,automatability
0.03,0.22,"No explicit AI/ML work; specialized production role with some technical analysis, but likely partly routine and process-driven.",1,3905307018,gpt-5.4-mini,openai,automatability
0.03,0.18,"No AI/ML work mentioned; mostly customer support, sales, field trials, and relationship management with some data interpretation.",1,3902784280,gpt-5.4-mini,openai,automatability
0.02,0.18,"Standard finance management duties; no AI/ML work mentioned. Some bookkeeping and reporting are software-assisted, but judgment and coordination remain central.",1,3901455803,gpt-5.4-mini,openai,automatability
0.08,0.42,"Accounting governance and data consistency work; mentions analytics, but no AI/ML development or direct AI use.",1,3900941961,gpt-5.4-mini,openai,automatability
0.93,0.18,"Strong genomics, sequencing, CRISPR, and data analysis involvement; managerial, interpretive, and stakeholder-facing work limits automation.",1,3903451011,gpt-5.4-mini,openai,automatability
0.99,0.08,"Explicit AI/ML genomics work with transformers, training, evaluation, and deployment; tasks are specialized and not routine.",1,3901347947,gpt-5.4-mini,openai,automatability
0.03,0.12,"GPS calibration mentioned, but role is mainly hands-on field service, equipment setup, transport, and maintenance.",1,3887596394,gpt-5.4-mini,openai,automatability
0.03,0.18,"Market/sales development role with forecasts and trial data; no AI/ML work described, and most tasks require human judgment and relationship-building.",1,3888821714,gpt-5.4-mini,openai,automatability
0.02,0.41,"No AI/ML work mentioned; tasks are credit review and collections, partly rule-based but still judgment-heavy.",1,3906201216,gpt-5.4-mini,openai,automatability
0.03,0.18,"Sales and territory management role with agronomy support; no AI/ML work described, and tasks are partly routine but relationship-based.",1,3903471434,gpt-5.4-mini,openai,automatability
0.02,0.72,"No AI/ML work mentioned; routine handling, inspections, data entry, and equipment operation suggest high automation potential.",1,3905298420,gpt-5.4-mini,openai,automatability
0.02,0.18,"Sales/account management role with strategic collaboration; no AI/ML or data-science duties, though some routine coordination is automatable.",1,3895225004,gpt-5.4-mini,openai,automatability
0.01,0.92,"Manual production labor with tools, prep, cleanup, and paperwork; no AI/ML work mentioned.",1,3903840715,gpt-5.4-mini,openai,automatability
0.72,0.18,Predictive analytics and high-quality data suggest AI/data-science exposure; senior product management remains largely strategic and cross-functional.,1,3894645109,gpt-5.4-mini,openai,automatability
0.01,0.18,"Driving, inspections, and cargo handling are manual; no AI, ML, or data-science work is described.",1,3905295632,gpt-5.4-mini,openai,automatability
0.08,0.22,"Treasury operations and financial modeling, with ERP support; little direct AI/ML work and many judgment-heavy relationship tasks.",1,3901951424,gpt-5.4-mini,openai,automatability
0.02,0.62,"No AI/ML work described; core duties are routine customer support oversight, coaching, workflow monitoring, and process management.",1,3905876320,gpt-5.4-mini,openai,automatability
0.03,0.12,"No AI/ML work described; mostly human field support, training, and problem-solving with some routine communication.",1,3900063709,gpt-5.4-mini,openai,automatability
0.02,0.18,"HR/administration role with financial and operational oversight; no AI, ML, or data-science duties described.",1,3901936521,gpt-5.4-mini,openai,automatability
0.03,0.18,"Quality engineering role; posting emphasizes manufacturing quality work, not AI/ML. Some routine inspection and documentation may be automatable.",1,3906228410,gpt-5.4-mini,openai,automatability
0.02,0.72,"No AI/ML work described; mostly repetitive warehouse, handling, and plant operations with some physical and customer-facing tasks.",1,3887593784,gpt-5.4-mini,openai,automatability
0.08,0.18,"Agronomy, trials, and sales training dominate; only minor mention of technologies, with limited routine data collection and coordination.",1,3900942928,gpt-5.4-mini,openai,automatability
0.01,0.18,"No AI/ML work described; mostly routine animal care, though live-animal judgment and physical tasks limit full automation.",1,3895527316,gpt-5.4-mini,openai,automatability
0.01,0.08,"Manual propane service work; no AI/ML or data-science tasks, and core duties require physical field work and troubleshooting.",1,3902866621,gpt-5.4-mini,openai,automatability
0.03,0.42,Standard accounting role with database work; no AI/ML mentioned. Many routine reconciliations and monthly close tasks are partially automatable.,1,3898170164,gpt-5.4-mini,openai,automatability
0.01,0.72,"No AI/ML work mentioned; tasks are document processing, data entry, filing, and routine coordination.",1,3906202183,gpt-5.4-mini,openai,automatability
0.02,0.18,"GPS calibration only; mostly hands-on equipment setup, transport, maintenance, and field support.",1,3904715383,gpt-5.4-mini,openai,automatability
0.08,0.12,"Sales territory role mentions new technologies, but no AI/ML work; relationship-building and account management are largely non-routine.",1,3884834371,gpt-5.4-mini,openai,automatability
0.02,0.78,"No AI/ML work mentioned; duties are routine lab prep, calibration, documentation, and cleaning.",1,3905254228,gpt-5.4-mini,openai,automatability
0.08,0.18,"Change management and digital adoption work; mentions digital products, but no AI/ML building or highly routine machine-executable tasks.",1,3902864553,gpt-5.4-mini,openai,automatability
0.01,0.18,"No AI/ML work described; mostly driving and physical delivery, with some routine recordkeeping.",1,3900962445,gpt-5.4-mini,openai,automatability
0.18,0.08,"Digital transformation and IT governance role; little evidence of direct AI/ML work, and tasks are strategic, not routine.",1,3901691609,gpt-5.4-mini,openai,automatability
0.72,0.41,Statistical forecasting and advanced data analysis suggest analytics exposure; managerial coordination and process improvement reduce full automation.,1,3900945314,gpt-5.4-mini,openai,automatability
0.03,0.08,Mechanical repair role with basic computer use; no AI/ML work and core hands-on diagnostics remain largely manual.,1,3888973740,gpt-5.4-mini,openai,automatability
0.08,0.72,"Technical writing for manuals; mentions autonomous/intelligent products but role centers on documentation, not AI work.",1,3902784814,gpt-5.4-mini,openai,automatability
0.12,0.28,"Data analytics internship suggests some analytical tools, but no explicit AI/ML; tasks appear partly routine reporting and budgeting.",1,3900945058,gpt-5.4-mini,openai,automatability
0.03,0.18,"Sales and relationship-focused grain marketing; mentions market tools/news, but no AI/ML work and only partly routine.",1,3906200470,gpt-5.4-mini,openai,automatability
0.02,0.35,"Standard accounting role with financial analysis and process projects; no AI/ML work mentioned, but some routine close and reporting tasks are automatable.",1,3884937037,gpt-5.4-mini,openai,automatability
0.02,0.78,"Assembly role with digital instructions; no AI/ML work mentioned, and tasks appear standardized and repetitive.",1,3901364791,gpt-5.4-mini,openai,automatability
0.02,0.72,"Clerical quality work with data review and document processing; no AI/ML mentioned, many routine repetitive tasks.",1,3903462780,gpt-5.4-mini,openai,automatability
0.18,0.22,"Mostly hands-on tractor testing, maintenance, and safety driving; some exposure to autonomous/intelligent systems, but little AI-specific work.",1,3902788275,gpt-5.4-mini,openai,automatability
0.02,0.62,"No AI/ML work mentioned; tasks are mostly order entry, customer service, and administrative coordination, which are partly automatable.",1,3904582563,gpt-5.4-mini,openai,automatability
0.03,0.18,"No AI/ML duties mentioned; role is strategic coordination and sustainability planning, only partly routine.",1,3898157584,gpt-5.4-mini,openai,automatability
0.02,0.18,"No AI/ML or data-science duties listed; mostly driving, maintenance, and manual farm work with some routine tasks.",1,3889762099,gpt-5.4-mini,openai,automatability
0.03,0.42,"Sales/account management role with reporting and admin; no AI/ML work mentioned, but many routine customer and documentation tasks.",1,3905295631,gpt-5.4-mini,openai,automatability
0.03,0.42,"No AI/ML work described; coordination, tracking, scheduling, and troubleshooting are partly routine but still human-dependent.",1,3905299409,gpt-5.4-mini,openai,automatability
0.01,0.12,"Truck driving and equipment delivery; no AI/ML work mentioned, but some driving tasks may be partially automatable.",1,3887493009,gpt-5.4-mini,openai,automatability
0.03,0.72,"Administrative customer service and order-entry work; no AI/ML duties mentioned, but many clerical tasks are routine and software-based.",1,3887596395,gpt-5.4-mini,openai,automatability
0.02,0.18,"No AI/ML work described; mostly hands-on diagnostics, repairs, and maintenance with some routine reporting.",1,3904583427,gpt-5.4-mini,openai,automatability
0.03,0.72,"Purely administrative, contract, and document work; little evidence of AI/ML use, but many tasks are routine and software-automatable.",1,3884436884,gpt-5.4-mini,openai,automatability
0.03,0.18,No AI/ML work described; hands-on repair role with some diagnostic and manual maintenance tasks.,1,3888973764,gpt-5.4-mini,openai,automatability
0.08,0.18,"Agronomy and field trials dominate; little explicit AI/ML work, and tasks require human judgment, coordination, and on-site observations.",1,3900947166,gpt-5.4-mini,openai,automatability
0.01,0.18,"No AI/ML work mentioned; mostly supervisory, safety, budgeting, and coordination tasks with some routine documentation.",1,3905294916,gpt-5.4-mini,openai,automatability
0.02,0.35,"Accounting and financial reporting role; no AI/ML mentioned. Some tasks are standardized, but ad hoc analysis and projects reduce full automation.",1,3884928659,gpt-5.4-mini,openai,automatability
0.02,0.18,"No AI/ML work mentioned; mostly relationship management, field monitoring, training, and recordkeeping with some routine administrative tasks.",1,3903475910,gpt-5.4-mini,openai,automatability
0.03,0.72,"No AI/ML work mentioned; tasks are routine warehouse operations, inventory, documentation, and shipping with some system use.",1,3905329900,gpt-5.4-mini,openai,automatability
0.03,0.12,"Trading and relationship management dominate; no AI/ML work mentioned, and tasks are judgment-heavy rather than routine.",1,3905295630,gpt-5.4-mini,openai,automatability
0.08,0.22,"Field research role uses remote sensing and data collection, but core work is hands-on agronomy and equipment operation.",1,3901946857,gpt-5.4-mini,openai,automatability
0.01,0.18,"No AI/data work described; mostly hands-on maintenance, inspections, coordination, and physical repairs with some routine scheduling.",1,3901698266,gpt-5.4-mini,openai,automatability
0.05,0.12,Sales and partnership development role; mentions enterprise data but no AI/ML work. Relationship-driven tasks are only partly automatable.,1,3904376378,gpt-5.4-mini,openai,automatability
0.03,0.08,Sales/marketing leadership role with strategy and people management; no AI/ML work and core tasks are largely judgment-based.,1,3901652587,gpt-5.4-mini,openai,automatability
0.03,0.72,"No AI/ML work mentioned; duties are data entry, reporting, note-taking, and routine coordination.",1,3904514229,gpt-5.4-mini,openai,automatability
0.02,0.72,"No AI/ML work mentioned; clerical, order-processing, and communication tasks are mostly routine and software-assisted.",1,3902745796,gpt-5.4-mini,openai,automatability
0.02,0.18,No AI/ML work described; role is relationship-driven market judgment with some routine pricing and contract tasks.,1,3906203101,gpt-5.4-mini,openai,automatability
0.08,0.34,"HR systems, reporting, surveys, and onboarding support; little evidence of AI/ML work, but some administrative tasks are automatable.",1,3903881656,gpt-5.4-mini,openai,automatability
0.02,0.18,No AI/ML duties mentioned; mostly physical operations with some routine data entry and inspections.,1,3905295629,gpt-5.4-mini,openai,automatability
0.02,0.18,"Pure HR generalist role; no AI/ML work mentioned. Some routine recruiting, onboarding, and compliance tasks are partially automatable.",1,3900978229,gpt-5.4-mini,openai,automatability
0.03,0.18,"No AI/ML work mentioned; mostly hands-on supervision, training, pacing, and food-safety coordination.",1,3901975629,gpt-5.4-mini,openai,automatability
0.03,0.18,"Pure equipment sales and relationship management; no AI/ML work mentioned, though some routine outreach and scheduling could be automated.",1,3901687904,gpt-5.4-mini,openai,automatability
0.03,0.18,"No AI/ML work mentioned; tasks are judgment-heavy accounting, though some reporting and journal-entry review are partially automatable.",1,3904953668,gpt-5.4-mini,openai,automatability
0.08,0.22,"Uses climate-control software and production data, but no AI/ML development; hands-on greenhouse judgment and plant care limit automation.",1,3906067166,gpt-5.4-mini,openai,automatability
0.08,0.34,"Traditional FP&A work; no AI/ML mention. Some reporting and analysis are automatable, but judgment-heavy finance tasks remain.",1,3901965400,gpt-5.4-mini,openai,automatability
0.01,0.18,"Compliance, reporting, inspections, and training dominate; no AI/ML work mentioned, though some routine reporting could be automated.",1,3903470944,gpt-5.4-mini,openai,automatability
0.01,0.78,"Pure administrative support; no AI/ML work mentioned. Many scheduling, expense, and document tasks are routine and software-automatable.",1,3900942924,gpt-5.4-mini,openai,automatability
0.01,0.18,"No AI/ML work described; tasks are equipment operation, application, maintenance, and customer communication, only partly automatable.",1,3906200467,gpt-5.4-mini,openai,automatability
0.03,0.18,"Operations/CI role centers on lean manufacturing and coordination, with no AI/ML or data-science duties mentioned.",1,3901981054,gpt-5.4-mini,openai,automatability
0.02,0.18,"Mechanical maintenance role; no AI/ML mentioned. Some routine tasks are automatable, but troubleshooting and upkeep need human judgment.",1,3902750991,gpt-5.4-mini,openai,automatability
0.03,0.72,"Procurement and supplier management are not AI-focused; many tasks are documentation, records, and routine purchasing decisions.",1,3905299407,gpt-5.4-mini,openai,automatability
0.18,0.72,"Uses statistical forecasting tools and analysis, but not AI/ML development; tasks are process-driven, repetitive, and software-assisted.",1,3900945316,gpt-5.4-mini,openai,automatability
0.03,0.18,"Cloud/software engineering role; mentions AWS, Python, Docker, SQL, DevOps, but no AI/ML work. Tasks are technical, not highly routine.",1,3898177736,gpt-5.4-mini,openai,automatability
0.02,0.18,"No AI/ML work mentioned; role is hands-on orchard operations, management, budgeting, and contractor oversight, limiting full automation.",1,3905832732,gpt-5.4-mini,openai,automatability
0.03,0.62,"No AI/ML mentioned; mostly routine communications, editing, posting, and layout tasks that software can partly automate.",1,3884429672,gpt-5.4-mini,openai,automatability
0.01,0.78,"Manual production labor applying glue and moving boards; no AI/ML work mentioned, tasks appear routine and repetitive.",1,3901934861,gpt-5.4-mini,openai,automatability
0.03,0.12,"No AI/ML duties listed; role is hands-on farm management with supervision, planning, and human coordination.",1,3894284013,gpt-5.4-mini,openai,automatability
0.08,0.18,"Strategic product management with analytics and cross-functional coordination; no explicit AI/ML work, and core tasks are not highly routine.",1,3884435283,gpt-5.4-mini,openai,automatability
0.02,0.72,"Recruiting and outreach work; no AI/ML methods mentioned. Core tasks are repetitive sourcing, scheduling, and record-keeping.",1,3895205776,gpt-5.4-mini,openai,automatability
0.08,0.12,"Materials R&D engineer role; posting emphasizes lab/materials innovation, not AI/ML or routine clerical work.",1,3905301571,gpt-5.4-mini,openai,automatability
0.03,0.28,"No AI/ML duties mentioned; mostly coordination, documentation, and routine operational tasks with some specialized judgment.",1,3905298421,gpt-5.4-mini,openai,automatability
0.01,0.12,"Management and plant operations role; no AI/ML or data-science duties mentioned, and core work is largely human oversight and coordination.",1,3904718114,gpt-5.4-mini,openai,automatability
0.01,0.18,"No AI/ML work mentioned; mostly hands-on monitoring, recording, and maintenance tasks with some physical judgment.",1,3905854526,gpt-5.4-mini,openai,automatability
0.03,0.18,"No AI/ML work described; mostly hands-on greenhouse, field logistics, and crew supervision with some routine coordination.",1,3903469659,gpt-5.4-mini,openai,automatability
0.01,0.18,"Truck driving and forklift work are manual; posting mentions training/compliance, not AI or data-science tasks.",1,3904718113,gpt-5.4-mini,openai,automatability
0.05,0.35,"No AI/ML work mentioned; accounting tasks are partly routine but include analysis, judgment, and month-end close.",1,3904580438,gpt-5.4-mini,openai,automatability
0.02,0.35,"Quality control lab work appears manual and measurement-based; no mention of AI, ML, or data-science methods.",1,3906230156,gpt-5.4-mini,openai,automatability
0.08,0.12,"Executive finance leadership; mentions data-driven culture, but no AI/ML work and core duties are strategic, not routine.",1,3891083171,gpt-5.4-mini,openai,automatability
0.01,0.72,"No AI/ML work mentioned; accounting, calculations, reconciliations, and system inputs are largely routine and software-driven.",1,3901988957,gpt-5.4-mini,openai,automatability
0.01,0.18,"No AI/ML work mentioned; mostly manual welding, machining, assembly, shipping, and packaging tasks.",1,3903462777,gpt-5.4-mini,openai,automatability
0.02,0.18,Pure administrative coordination; no AI/ML work mentioned. Some routine scheduling and support tasks are partially automatable.,1,3905829697,gpt-5.4-mini,openai,automatability
0.02,0.12,"Diesel repair role; mentions diagnostic equipment and training, but no AI/ML work. Hands-on troubleshooting limits automation.",1,3888012305,gpt-5.4-mini,openai,automatability
0.99,0.08,"Explicit AI/ML, transformers, LLMs, generative AI, genomics model development; highly specialized, not routine.",1,3905254737,gpt-5.4-mini,openai,automatability
0.08,0.62,"Accounting role; company uses AI, but posting describes standard bookkeeping, reconciliations, and month-end close tasks.",1,3901911413,gpt-5.4-mini,openai,automatability
0.01,0.18,"Driving and cargo handling are manual, regulated tasks; no AI, data, or machine-learning work is described.",1,3905300338,gpt-5.4-mini,openai,automatability
0.08,0.22,"Data engineering and governance work; mentions pipelines, Databricks, ELT, CI/CD, not AI/ML. Tasks are technical but partly structured and automatable.",1,3904422371,gpt-5.4-mini,openai,automatability
0.03,0.18,"Structural investigations and report writing; no AI/ML mentioned, but some routine assessment and documentation may be automatable.",1,3905306934,gpt-5.4-mini,openai,automatability
0.08,0.22,"No AI/ML work mentioned; analysis-heavy HR M&A role with judgment, negotiation, and due diligence limits automation.",1,3903838887,gpt-5.4-mini,openai,automatability
0.03,0.72,"Insurance processing/support role; no AI/ML work mentioned. Core tasks sound standardized, document-driven, and highly routine.",1,3906256510,gpt-5.4-mini,openai,automatability
0.02,0.72,No AI/ML work mentioned; clerical customer service and office tasks are routine and highly software-automatable.,1,3905840110,gpt-5.4-mini,openai,automatability
0.02,0.12,"Sales relationship management role; no AI/ML work mentioned, and core tasks are strategic, interpersonal, and judgment-based.",1,3904389822,gpt-5.4-mini,openai,automatability
0.08,0.22,Claims work is procedural and field-based; only minor software/compliance analysis suggests limited AI exposure.,1,3894288131,gpt-5.4-mini,openai,automatability
0.02,0.72,"Sales/benefits consulting uses CRM tools, not AI work; core outreach and enrollment tasks are fairly routine and scriptable.",1,3903185836,gpt-5.4-mini,openai,automatability
0.02,0.18,Sales/benefits advising role with no AI or data-science duties; some routine outreach and enrollment tasks are partially automatable.,1,3901348449,gpt-5.4-mini,openai,automatability
0.03,0.18,"Standard .NET software engineering with cloud migration; no AI/ML work mentioned, but some coding tasks are partially automatable.",1,3894287200,gpt-5.4-mini,openai,automatability
0.08,0.12,"Standard Java/Spring Boot software engineering; no explicit AI/ML work and tasks appear specialized, not routine.",1,3904363580,gpt-5.4-mini,openai,automatability
0.08,0.18,"Technology management and application development; no explicit AI/ML work, and responsibilities require coordination, analysis, and leadership.",1,3905323921,gpt-5.4-mini,openai,automatability
0.03,0.18,"No AI/ML work described; mostly clinical project coordination, reporting, documentation, and tracking, which are partly routine.",1,3901989941,gpt-5.4-mini,openai,automatability
0.03,0.18,"Insurance account management; no AI/ML work mentioned. Some routine client/admin tasks, but relationship-heavy and judgment-based.",1,3887906359,gpt-5.4-mini,openai,automatability
0.03,0.12,"Sales relationship role; no AI/ML work mentioned. Some outreach/admin tasks are routine, but core relationship-building is not easily automated.",1,3898175385,gpt-5.4-mini,openai,automatability
0.08,0.22,"Sales/producer role uses analytics platform, but posting emphasizes client relationships and business development, not AI work; some routine outreach is automatable.",1,3904965409,gpt-5.4-mini,openai,automatability
0.03,0.42,"No AI/ML work mentioned; tasks are compliance testing, documentation, and process review, partly routine but judgment-heavy.",1,3903477311,gpt-5.4-mini,openai,automatability
0.02,0.35,"Client relationship, advice, and multitasking dominate; no AI/ML work mentioned, though some routine account servicing may be automatable.",1,3903831195,gpt-5.4-mini,openai,automatability
0.08,0.18,"Traditional reserving actuarial work; no AI/ML mentioned, and tasks are specialized judgment-based reviews rather than highly routine.",1,3884439563,gpt-5.4-mini,openai,automatability
0.02,0.55,"No AI/ML work mentioned; mostly routine client-file, spreadsheet, document review, and proposal support tasks.",1,3900086872,gpt-5.4-mini,openai,automatability
0.01,0.08,"No AI/ML work mentioned; role is hands-on clinical assessment and coordination, with limited routine documentation.",1,3903841464,gpt-5.4-mini,openai,automatability
0.08,0.34,"No AI/ML work described; some audit tasks are structured, but judgment, communication, and risk assessment remain central.",1,3901639453,gpt-5.4-mini,openai,automatability
0.03,0.08,"Clinical case management and face-to-face assessments; no AI/ML work described, and tasks require human judgment and interaction.",1,3900976314,gpt-5.4-mini,openai,automatability
0.08,0.22,"IT risk/security role; mentions planning and risk reduction, not AI/ML. Work seems judgment-heavy, only partly routine.",1,3898173174,gpt-5.4-mini,openai,automatability
0.02,0.35,Pure sales role with no AI/ML mention; some routine outreach and qualification could be partially automated.,1,3902753359,gpt-5.4-mini,openai,automatability
0.03,0.18,"No AI/ML work described; mostly relationship management, consulting, and report preparation with some repetitive analysis.",1,3887499849,gpt-5.4-mini,openai,automatability
0.02,0.72,"Pure accounting/reconciliation work; no AI/ML duties mentioned, and many journal/reconciliation tasks are routine and software-assisted.",1,3904369077,gpt-5.4-mini,openai,automatability
0.01,0.72,"No AI/ML duties mentioned; work is mostly claims file maintenance, data entry, record updates, and report distribution.",1,3901350331,gpt-5.4-mini,openai,automatability
0.02,0.18,"Sales and insurance explanation role; no AI/ML work mentioned, though some routine client-facing tasks could be partially automated.",1,3899522930,gpt-5.4-mini,openai,automatability
0.08,0.18,"Claims work is investigation and judgment-heavy; posting mentions analytics, but not AI/ML or highly routine tasks.",1,3904582691,gpt-5.4-mini,openai,automatability
0.03,0.12,"Benefits consulting and client project management; no AI/ML work mentioned, and tasks are relationship-heavy rather than routine.",1,3904362586,gpt-5.4-mini,openai,automatability
0.03,0.72,"No AI/ML work described; mostly scripted sales, enrollment, CRM updates, and repetitive customer support.",1,3902842704,gpt-5.4-mini,openai,automatability
0.97,0.18,"Explicit predictive modeling, analytics, SAS/R/Python, Bayesian statistics, and model development indicate high AI/data-science exposure; managerial, contextual, and validation work limits automation.",1,3905817370,gpt-5.4-mini,openai,automatability
0.03,0.62,"No AI/ML work mentioned; mostly routine design production, asset management, and basic photo editing.",1,3894996815,gpt-5.4-mini,openai,automatability
