p_exposure,p_automatable,rationale,raw_ok,job_id,model
0.78,0.22,Research fellowship likely involves technical research; AI/ML possible but unspecified. Work seems non-routine and not highly automatable.,1,a2c4f3c301de,gpt-5.4-mini
0.01,0.06,"Posting is generic neonatal care/health system language, with no AI, ML, data, or analytical tasks mentioned.",1,67b453eb1b40,gpt-5.4-mini
0.01,0.86,"No AI/ML work described; primarily repetitive warehouse unloading, picking, loading, and organization tasks.",1,11ede416bb02,gpt-5.4-mini
0.02,0.18,"Marine mammal assistant role; no AI, ML, or data-science duties described. Likely field/support work with some routine tasks.",1,46218ab6dc5e,gpt-5.4-mini
0.03,0.19,"Agronomic sales/advice role; no AI, ML, or data-science work mentioned. Mostly relationship-driven expertise, with some routine advisory tasks.",1,e7cf978608ec,gpt-5.4-mini
0.02,0.18,Sales and partnership role with relationship-building; little evidence of AI/ML use and only moderately automatable.,1,a19d521d9511,gpt-5.4-mini
0.05,0.12,"Environmental engineering/remediation role; no AI/ML mention. Work appears technical and client-facing, not highly routine or fully automatable.",1,52e744599e5e,gpt-5.4-mini
0.01,0.58,"No AI/ML/data-science duties mentioned; front-desk admin work is largely routine information, greeting, and referral tasks.",1,c2c571b501a9,gpt-5.4-mini
0.01,0.78,"Cleaning-focused hospital aide role; no AI/ML work described, and tasks appear routine and repetitive.",1,1ec77e68bf78,gpt-5.4-mini
0.01,0.72,"No AI/ML work described; duties are shift oversight, monitoring, planning, and standard customer-service operations.",1,d2ec7cb3d3c5,gpt-5.4-mini
0.08,0.27,Imagery analysis role; no explicit AI/ML work. Some pattern-recognition tasks may be partially automatable.,1,69e559bba6cd,gpt-5.4-mini
0.03,0.28,"Data center technician work is hardware/network operations, not AI-focused; some routine repair is automatable, but on-site troubleshooting limits it.",1,91cc23a1311b,gpt-5.4-mini
0.99,0.72,"Explicitly trains and evaluates AI chatbots; core work is AI-related, though human judgment and physics expertise reduce full automation.",1,23c2c552e5f4,gpt-5.4-mini
0.03,0.42,"Knowledge management and conference coordination; little evidence of AI/ML use, but some administrative tasks are routine.",1,e6f32ba9af7a,gpt-5.4-mini
0.04,0.08,"Project management and field coordination role; no AI, ML, or data-science duties described. Mostly human coordination and outdoor oversight.",1,3f60e52414a0,gpt-5.4-mini
0.01,0.22,Retail sales role; no AI/ML work mentioned. Some routine customer assistance and product advice could be partially automated.,1,33873e58c6f6,gpt-5.4-mini
0.05,0.15,"Posting is an oil-sector advisory/PE role; no clear AI, ML, or data-science work described, and tasks seem judgment-based.",1,a5fcd044493b,gpt-5.4-mini
0.18,0.05,"Primarily client-facing sales; mentions AI-first and automation platforms, but core tasks are relationship and revenue growth.",1,d2682c91fe4a,gpt-5.4-mini
0.02,0.32,No AI or data-science duties mentioned; planning/logistics supervision includes some routine coordination that software could partially automate.,1,0881b01f0458,gpt-5.4-mini
0.98,0.22,"Role explicitly trains AI on environmental expertise; core work is expert judgment, not repetitive tasks.",1,48d8fcffdca0,gpt-5.4-mini
0.02,0.68,"Retail store management; no AI/data-science duties. Many core tasks are standardized, though human oversight remains important.",1,85654d24f801,gpt-5.4-mini
0.03,0.72,"Retail store management and sales role; no AI/ML work mentioned. Many tasks are routine sales, merchandising, and outreach.",1,c0f3d4a297d2,gpt-5.4-mini
0.1,0.55,"Engineering/manufacturing role; mentions automation tooling, but no AI/ML or data-science work. Repetitive assembly under microscope is somewhat automatable.",1,32f53aca7471,gpt-5.4-mini
0.02,0.63,"Posting describes a maintenance technician role; no AI/ML work, but tasks appear routine and operational.",1,616d69962a09,gpt-5.4-mini
0.01,0.18,Restaurant management role; no AI/ML work mentioned. Some routine inventory and scheduling tasks are partially automatable.,1,e7fb65deb5ed,gpt-5.4-mini
0.03,0.12,"Business development and freight sales role; posting shows no AI/ML work and core tasks seem relationship-driven, not highly routine.",1,3c666847c079,gpt-5.4-mini
0.03,0.35,"Production supervision role; mentions efficiency and leadership, but no AI/ML/data-science work. Some tasks are routine coordination and scheduling.",1,2b4e83f48958,gpt-5.4-mini
0.01,0.35,Tree climbing/trimming work shows no AI/ML use; some repetitive physical tasks are partially automatable.,1,6d32c5987aaa,gpt-5.4-mini
0.02,0.12,"Strategic food-systems coordination role; no AI/ML or data-science duties, and substantial judgment, relationship, and implementation work.",1,98005c20d1ae,gpt-5.4-mini
0.01,0.68,"No AI/ML work mentioned; tasks are credit evaluation, documentation, approvals, and customer communication, largely rules-based.",1,4188b402a1d6,gpt-5.4-mini
0.03,0.18,Outdoor plant health care work with monitoring and evaluation; mentions scientific research but no AI or data-science tasks.,1,bd9c001c53f3,gpt-5.4-mini
0.01,0.72,"Retail sales associate role; no AI/ML work described, and core tasks appear routine customer service and sales.",1,e7b62c34f596,gpt-5.4-mini
0.01,0.05,"Clinical physician role; posting mentions no AI, data science, or routine automatable tasks.",1,cc8ff59eb467,gpt-5.4-mini
0.01,0.72,"No AI/ML work mentioned; duties are routine event coordination, supervision, and service logistics, which are highly automatable.",1,41f4ced3b34e,gpt-5.4-mini
0.02,0.55,Land surveying internship; no AI/ML mentioned. Tasks may be somewhat routine and computer-assisted.,1,d902d421dc63,gpt-5.4-mini
0.01,0.2,No AI or data-science work mentioned; tasks are hands-on animal care with some routine administrative/lab duties.,1,2800d85f5c60,gpt-5.4-mini
0.03,0.12,"Audiology clinical diagnosis and device fitting; no indication of AI/ML work, though some testing tasks are partially automatable.",1,f0f121b31533,gpt-5.4-mini
0.02,0.78,"Leasing consultant work appears customer-service and admin focused, with no AI/ML responsibilities; many tasks are routine and standardized.",1,bb40c2aeb0e5,gpt-5.4-mini
0.01,0.78,"Cleaning-focused EVS role; no AI/ML work mentioned, while tasks are routine and repetitive.",1,be53afe0eec0,gpt-5.4-mini
0.02,0.48,Pure outside sales role; no AI/ML work mentioned. Some repetitive cold-calling and lead-following could be partially automated.,1,ed983168d458,gpt-5.4-mini
0.01,0.02,"Psychiatric nurse practitioner role; posting shows staffing, not AI, data science, or routine machine-replaceable tasks.",1,49bad308813a,gpt-5.4-mini
0.08,0.27,"Geology and project economics focus; no AI/ML mention. Some analytical work is standardized, but senior technical judgment limits automation.",1,9d54d8995917,gpt-5.4-mini
0.03,0.62,"Data collection and routine surveying; no evidence of AI/ML work, but tasks appear largely repetitive and structured.",1,21c180bfe9ba,gpt-5.4-mini
0.02,0.78,"Regulatory/technical assistance role; no AI/ML work mentioned. Tasks sound standardized, rule-based, and document-heavy.",1,76e559dc5d1b,gpt-5.4-mini
0.01,0.18,"Pure sales role with customer relationship work; no indication of AI, analytics, or machine-learning tasks.",1,d14603261d77,gpt-5.4-mini
0.01,0.91,"No AI/ML work mentioned; repetitive manual processing, cutting, and packaging suggest high automation potential.",1,3f659a47eac3,gpt-5.4-mini
0.03,0.72,"Curriculum/outreach role with no AI, ML, or data-science work mentioned; tasks sound mostly routine coordination and messaging.",1,0af2f21ada0d,gpt-5.4-mini
0.03,0.64,"No AI/ML work mentioned; duties are survey, recordkeeping, and routine field tasks that computers could partly automate.",1,c4eac614cbe9,gpt-5.4-mini
0.04,0.18,"Biotech-support role with genetics knowledge, but no AI/ML/data-science work; mostly technical customer support, partly routine.",1,6bbdda085c2a,gpt-5.4-mini
0.01,0.72,"Kitchen cook role; no AI/ML work mentioned. Tasks are largely routine food preparation and service, though some dexterity and pace matter.",1,abad43fbdb56,gpt-5.4-mini
0.01,0.28,"Housekeeping supervisor role; no AI/data work mentioned. Some routine coordination, but human service and oversight limit automation.",1,8572dcba75e7,gpt-5.4-mini
0.03,0.66,"Manufacturing lead role; no AI/ML mention. Mostly coordination, routine production oversight, and process updates, which are moderately automatable.",1,9ca9f5e9bc3f,gpt-5.4-mini
0.02,0.31,Sales leadership and lead qualification; no AI/ML work. Some routine outreach and pipeline tasks are partially automatable.,1,579a65eb6d57,gpt-5.4-mini
0.01,0.18,"Teaching and sports leadership involve no AI/data work; some planning/admin is routine, but core PE instruction is not easily automated.",1,9c1f821035b0,gpt-5.4-mini
0.01,0.55,No AI/ML work mentioned; managerial routine operations and coaching suggest moderate automation exposure.,1,fcbaba714adf,gpt-5.4-mini
0.02,0.12,"Civil water/wastewater project engineering; no AI/ML/data-science duties mentioned, and work appears largely specialized, non-routine professional judgment.",1,4a6776e2fb82,gpt-5.4-mini
0.18,0.41,"Mentions data analytics and process improvement, but no explicit AI/ML. Core work seems facilitation and project management, partly routine.",1,97684e82c907,gpt-5.4-mini
0.01,0.74,"No AI/ML work described; tasks are routine delivery, signature capture, inspections, and cash handling.",1,8da3ad7cf619,gpt-5.4-mini
0.0,0.35,"Tree trimming/climbing role shows no AI/ML work; some tasks may be mechanized, but much is physical and situational.",1,662d9450ac34,gpt-5.4-mini
0.02,0.34,"Pure outside sales role; no AI/ML work described. Some relationship-selling tasks are routine, but judgment and human interaction limit automation.",1,dfc07b22ba85,gpt-5.4-mini
0.01,0.08,"Banquet operations role; no AI/ML/data work mentioned, and tasks are mostly human coordination and guest service.",1,e5c90c15bd0a,gpt-5.4-mini
0.02,0.2,"Sanitation site management, crew supervision, budgeting, and billing; no AI/ML or data-science work described.",1,d45ef02f0737,gpt-5.4-mini
0.02,0.78,"Pest control field technician; no AI/ML work mentioned. Core tasks sound routine, repetitive, and rules-based service work.",1,55a43c053878,gpt-5.4-mini
0.03,0.58,"No AI/ML work mentioned; logging, mapping, photography, and routine reporting suggest moderate automation potential.",1,a4c832eb7e21,gpt-5.4-mini
0.02,0.28,"Pure sales territory management; no AI/ML or data-science work mentioned. Some outreach is automatable, but relationship selling remains human-centric.",1,feeab4cd58d6,gpt-5.4-mini
0.01,0.32,"Delivery/courier role with driving, package handling, and customer service; no AI or data-science work described.",1,88bfe94e987f,gpt-5.4-mini
0.01,0.7,"No AI/ML work mentioned; duties are routine maintenance and repair, likely highly automatable.",1,90a4553c75e4,gpt-5.4-mini
0.32,0.12,"Mentions advanced analytics and digital technologies, but role appears advisory/operational logistics rather than AI/ML-focused or highly routine.",1,2e12a379b283,gpt-5.4-mini
