p_exposure,p_automatable,rationale,raw_ok,job_id,model,provider,construct_target
0.02,0.08,"Clinical leadership, staffing, planning, and patient-care oversight; little AI use mentioned and core work is nonroutine, interpersonal.",1,067e78dac78a,gpt-5.4,openai,exposure
0.03,0.08,"Clinical leadership, staffing, strategy, and patient-care oversight; no AI duties, and core work is judgment-heavy, interpersonal, nonroutine.",1,fd2f0d366134,gpt-5.4,openai,exposure
0.08,0.18,"IP litigation associate role emphasizes legal strategy, trial work, and technical knowledge; little direct AI use, low routine automability.",1,231698171999,gpt-5.4,openai,exposure
0.18,0.08,"Advanced biological research, modeling support, and expert judgment dominate; little explicit AI use, low routine task automability.",1,cd001ef0067b,gpt-5.4,openai,exposure
0.03,0.42,"Patient greeting and imaging intake; no AI/ML duties mentioned, but some intake tasks are somewhat routine.",1,e463785e6588,gpt-5.4,openai,exposure
0.08,0.24,"Technical customer success for security platform; little explicit AI work, and core tasks require human problem-solving and customer interaction.",1,1a9bf082bc66,gpt-5.4,openai,exposure
0.03,0.12,"Clinical leadership and perioperative operations role; posting mentions no AI/data-science tasks, and core work is managerial, interpersonal, nonroutine.",1,0e6a5b5c0ae1,gpt-5.4,openai,exposure
0.42,0.14,"Clinical statistics leadership uses advanced quantitative methods, but work is strategic, judgment-heavy, and not mostly routine.",1,dcc2dc84df48,gpt-5.4,openai,exposure
0.03,0.08,"Scientific product development and team leadership; no AI/data-science duties mentioned, and core work is non-routine.",1,341d8a1d6225,gpt-5.4,openai,exposure
0.62,0.34,"Data-driven marketing analyst role works with analysts/data scientists; analytical tasks need judgment, not mostly routine.",1,cfad8b0c5abe,gpt-5.4,openai,exposure
0.06,0.08,"Senior clinical leadership for oncology trials; little explicit AI use, and core judgment-heavy, collaborative tasks resist automation.",1,a5b1dcbd8a2a,gpt-5.4,openai,exposure
0.03,0.12,"R&D scientist developing coatings chemistry; no AI/data-science mentioned, and creative experimental work is not highly routine.",1,d07ca4b4d9ef,gpt-5.4,openai,exposure
0.04,0.22,"Internal audit strategy, reporting, QA, training, and planning involve judgment-heavy coordination; little explicit AI or data-science work.",1,4d61e3cbb7b2,gpt-5.4,openai,exposure
0.08,0.12,"Clinical collaboration, trials, and physician relationships dominate; little explicit AI/data-science work, and core tasks are nonroutine interpersonal research.",1,9207fb4caf58,gpt-5.4,openai,exposure
0.03,0.58,Project coordination in medical publications; no AI/data-science duties mentioned. Scheduling and tracking are moderately routine and partly automatable.,1,6cd71afe92af,gpt-5.4,openai,exposure
0.03,0.28,"HR/talent program support role; no AI/data-science duties stated, with mixed coordination and judgment-based tasks.",1,b77ca505ac9e,gpt-5.4,openai,exposure
0.01,0.12,"Phlebotomist role implies manual patient blood draws; posting mentions no AI, and core tasks require in-person dexterity.",1,0055e6500b35,gpt-5.4,openai,exposure
0.03,0.28,"Lab operations, coordination, compliance, and facility tasks are hands-on; no AI/data-science duties mentioned.",1,d377104c1e8a,gpt-5.4,openai,exposure
0.03,0.18,"Regulatory submission leadership in biotech; little explicit AI use, and work requires expert judgment, strategy, and review.",1,33ba15c755a9,gpt-5.4,openai,exposure
0.03,0.18,"Laboratory assay development, validation, and sample analysis use specialized instruments; little explicit AI/data-science, substantial hands-on scientific judgment.",1,b15dbba04cbc,gpt-5.4,openai,exposure
0.03,0.18,"Clinical operations leadership in NICU; people coordination and judgment-heavy care support, with no AI/data-science duties mentioned.",1,0f333e9a969a,gpt-5.4,openai,exposure
0.03,0.18,"Clinical specialist/sales expansion role in biopharma; no AI duties mentioned, and work appears relationship-driven, not routine.",1,b2efc8491fa6,gpt-5.4,openai,exposure
1.0,0.08,"Principal AI Engineer role directly builds GenAI solutions; leadership, architecture, and cross-functional project work are not routine.",1,aa49fd069b02,gpt-5.4,openai,exposure
0.08,0.18,Technical program management posting mentions no AI work; coordination and leadership tasks are not highly routine.,1,f8316fd7c474,gpt-5.4,openai,exposure
0.03,0.58,"Administrative clinical-trial coordination role; no AI/data-science duties stated, but many documentation and scheduling tasks are routine.",1,1eb02d414273,gpt-5.4,openai,exposure
0.03,0.08,"Biopharma process-development leadership role; no AI/data-science duties mentioned, and core work is technical, judgment-heavy, nonroutine.",1,02fff597970f,gpt-5.4,openai,exposure
0.03,0.86,"Specimen accessioning, sorting, and data entry are routine clerical tasks; posting shows no AI or analytics involvement.",1,379bca1b0033,gpt-5.4,openai,exposure
0.42,0.18,"Spectral analysis, modeling, algorithms, and GEOINT R&D suggest moderate AI/data-science exposure; research-heavy intelligence work is not routine.",1,e39f29acc11e,gpt-5.4,openai,exposure
0.99,0.08,"Role explicitly leads AI strategy and advanced analytics; strategic, cross-functional architecture work is not routine.",1,c0c724cc87c1,gpt-5.4,openai,exposure
0.02,0.12,"Patent litigation role centers on legal strategy, advocacy, depositions, and client interaction; little AI use mentioned, low routine automability.",1,509fd306d708,gpt-5.4,openai,exposure
0.14,0.18,"Leadership, stakeholder management, policy shaping, and client-service oversight dominate; only light data analysis/tech literacy mentioned.",1,5fb5713e17a3,gpt-5.4,openai,exposure
0.01,0.72,"Telecom attendant duties appear phone-routing and shift coverage; no AI/data-science work mentioned, and tasks seem fairly routine.",1,9c19ba7b17e9,gpt-5.4,openai,exposure
0.06,0.12,"Field medical liaison role centers on scientific communication, strategy, and relationship-building; no explicit AI work, low routine automatable content.",1,2e9785ff7493,gpt-5.4,openai,exposure
0.02,0.78,"Clerical, billing, filing, phones, and paperwork dominate; no AI/data-science duties mentioned.",1,3901373434,gpt-5.4,openai,exposure
0.12,0.28,"Operations/logging coordination and training role; mentions technology use/troubleshooting, not AI/data science; field judgment limits automation.",1,3901677982,gpt-5.4,openai,exposure
0.03,0.58,"Hands-on seed production, shipping, field management, and coordination; little AI use, but some routine logistics tasks are automatable.",1,3884831631,gpt-5.4,openai,exposure
0.06,0.72,"Production/warehouse tasks use computerized systems but not AI; many repetitive monitoring, sorting, packing, and logistics duties are automatable.",1,3901950699,gpt-5.4,openai,exposure
0.02,0.18,"Maintenance management role; posting shows plant operations leadership, not AI work, and tasks likely require human judgment and coordination.",1,3895550294,gpt-5.4,openai,exposure
0.03,0.34,"Process mapping and quality-improvement coordination; no explicit AI/data-science work, but some documentation tasks are partly automatable.",1,3902756354,gpt-5.4,openai,exposure
0.01,0.72,"Manual material handling and inventory documentation; no AI/data-science duties, but many routine logistics tasks are partly automatable.",1,3903462811,gpt-5.4,openai,exposure
0.02,0.42,"Manual plant and warehouse work with equipment operation; little AI/data use, but some repetitive handling tasks are automatable.",1,3887594590,gpt-5.4,openai,exposure
0.01,0.62,"Manual groundskeeping and maintenance role; no AI/data tasks mentioned, but many duties are repetitive and partly automatable.",1,3900966122,gpt-5.4,openai,exposure
0.03,0.18,"Supervisory field operations, planning, contractor coordination, and leadership; little evidence of AI/data-science work, low routine automability.",1,3905835109,gpt-5.4,openai,exposure
0.01,0.06,"Clinical emergency veterinary care and mentoring are hands-on, judgment-intensive, with no AI or data-science duties mentioned.",1,3889759495,gpt-5.4,openai,exposure
0.06,0.48,"Agriculture operations internship with logistics, warehouse, inspection, sampling, and basic analysis; little explicit AI/data-science work.",1,3902748502,gpt-5.4,openai,exposure
0.03,0.22,"Treasury finance role using analysis, risk management, and cross-functional judgment; no AI/data-science duties, limited routine automatable work.",1,3887595473,gpt-5.4,openai,exposure
0.08,0.42,"Marketing content strategy and coordination role; mentions optimization/testing, but no direct AI/ML work. Creative planning limits full automation.",1,3900945315,gpt-5.4,openai,exposure
0.01,0.18,"Manual outdoor landscaping and maintenance; no AI/data tasks mentioned, and core work requires physical, variable on-site judgment.",1,3905251801,gpt-5.4,openai,exposure
0.04,0.18,"Manufacturing technology engineering role; posting shows plant/process engineering, not AI work, and tasks likely require human judgment.",1,3906225754,gpt-5.4,openai,exposure
0.03,0.62,"Accounting, reporting, reconciliation, and compliance tasks use standard procedures; no explicit AI/ML or data-science responsibilities.",1,3905871759,gpt-5.4,openai,exposure
0.14,0.31,"Operations/logging coordination and training role; uses operational technology but not AI-specific, with substantial field judgment and contractor management.",1,3260455681,gpt-5.4,openai,exposure
0.01,0.18,"Feed mill operations, compliance, maintenance, and staff management; little AI/data-science content, many physical and supervisory tasks resist automation.",1,3905238505,gpt-5.4,openai,exposure
0.06,0.42,"Manufacturing production role with technical analysis; no explicit AI/data-science duties, and physical/specialized tasks limit automation.",1,3905307018,gpt-5.4,openai,exposure
0.06,0.18,"Customer advising, field trials, and relationship management dominate; little explicit AI/data-science work and substantial non-routine field interaction.",1,3902784280,gpt-5.4,openai,exposure
0.03,0.46,"Finance management and compliance role; no AI/data-science duties mentioned, but some bookkeeping/reporting tasks are software-automatable.",1,3901455803,gpt-5.4,openai,exposure
0.18,0.46,"Financial data governance and analytics role; uses data systems, not explicit AI/ML. Many accounting checks are structured but require judgment.",1,3900941961,gpt-5.4,openai,exposure
0.28,0.12,"Genomics/data analysis role using sequencing and quantitative genetics; leadership, interpretation, and breeding decisions are not highly routine.",1,3903451011,gpt-5.4,openai,exposure
0.99,0.18,"Directly builds and deploys transformer-based genomics AI; core work is advanced, collaborative, and not mostly routine.",1,3901347947,gpt-5.4,openai,exposure
0.08,0.34,"Uses GPS/equipment calibration but no AI/ML; field setup, transport, maintenance, and support are hands-on, variable tasks.",1,3887596394,gpt-5.4,openai,exposure
0.03,0.28,"Market development and sales strategy role; little AI/data-science work, with substantial relationship-building and judgment limiting automation.",1,3888821714,gpt-5.4,openai,exposure
0.02,0.62,"Traditional credit evaluation and collections role; no AI/data-science duties mentioned, but many tasks are structured and process-driven.",1,3906201216,gpt-5.4,openai,exposure
0.03,0.22,"Field sales, relationship management, recommendations, and territory growth dominate; little direct AI/data-science work, limited routine automatable tasks.",1,3903471434,gpt-5.4,openai,exposure
0.03,0.62,"Warehouse/material-handling duties use basic systems, not AI; many repetitive physical tasks are partly automatable but still need humans.",1,3905298420,gpt-5.4,openai,exposure
0.02,0.18,"Strategic account management and relationship-building role; little evidence of AI/data-science work, low routine task automability.",1,3895225004,gpt-5.4,openai,exposure
0.01,0.72,"Manual production labor with hand tools and paperwork; no AI/data tasks, but many repetitive shop-floor duties are partly automatable.",1,3903840715,gpt-5.4,openai,exposure
0.58,0.18,"Product role in predictive-analytics agtech likely interfaces with AI/data science, but strategic cross-functional management is hard to automate.",1,3894645109,gpt-5.4,openai,exposure
0.01,0.12,"Manual driving, inspections, loading, and regulatory compliance; no AI/data tasks mentioned, limited automatable physical work.",1,3905295632,gpt-5.4,openai,exposure
0.04,0.18,"Treasury leadership, banking relationships, forecasting, negotiations, and oversight; little explicit AI/data-science work, limited routine automatable core tasks.",1,3901951424,gpt-5.4,openai,exposure
0.03,0.42,"Customer-service supervision and coaching; little explicit AI/data-science work, but some routine monitoring/reporting tasks are automatable.",1,3905876320,gpt-5.4,openai,exposure
0.02,0.18,"Hands-on regional field service, training, troubleshooting, and dealer communication; little AI/data work, low routine automability.",1,3900063709,gpt-5.4,openai,exposure
0.02,0.28,"HR/administration leadership role; no AI/data-science duties mentioned. Involves judgment, oversight, and people management, limiting automation.",1,3901936521,gpt-5.4,openai,exposure
0.03,0.28,"Quality engineering role; posting shows no AI/data-science work, and core judgment/problem-solving tasks are only partly automatable.",1,3906228410,gpt-5.4,openai,exposure
0.02,0.58,"Manual plant and warehouse operations; minimal AI/data work. Some repetitive tasks, but physical equipment use limits automation.",1,3887593784,gpt-5.4,openai,exposure
0.08,0.22,"Field agronomy, trials, evaluations, training, and liaison work; little explicit AI/data-science, substantial nonroutine human judgment.",1,3900942928,gpt-5.4,openai,exposure
0.01,0.18,"Hands-on livestock care and observation; no AI/data tasks mentioned. Physical, variable animal-care work limits automation.",1,3895527316,gpt-5.4,openai,exposure
0.01,0.12,"Hands-on propane delivery, installation, repairs, driving, and customer interaction; little AI use and low full automation feasibility.",1,3902866621,gpt-5.4,openai,exposure
0.03,0.58,"Accounting, reconciliations, closing, budgeting, and reporting use standard finance systems; little explicit AI/data-science work.",1,3898170164,gpt-5.4,openai,exposure
0.01,0.72,"Administrative export documentation role; no AI/data-science tasks. Many structured, repetitive paperwork and recordkeeping duties are automatable.",1,3906202183,gpt-5.4,openai,exposure
0.04,0.28,"Equipment setup, transport, calibration, and field maintenance are hands-on agricultural service tasks, not AI-focused or easily fully automated.",1,3904715383,gpt-5.4,openai,exposure
0.08,0.18,"Field sales and relationship management role; mentions new technologies, but no direct AI/data-science work and low routine automability.",1,3884834371,gpt-5.4,openai,exposure
0.03,0.78,"Routine sample prep, calibration, documentation, and cleaning; no AI/ML duties mentioned, though physical lab work limits full automation.",1,3905254228,gpt-5.4,openai,exposure
0.12,0.28,"Focuses on change management and digital adoption, not AI; work is stakeholder-facing, analytical, and non-routine.",1,3902864553,gpt-5.4,openai,exposure
0.01,0.18,"Manual driving, delivery, and physical labor; no AI/data tasks mentioned, though some recordkeeping is routine.",1,3900962445,gpt-5.4,openai,exposure
0.18,0.12,"Strategic IT leadership and governance role; mentions digitization, not direct AI/data-science work, and tasks are non-routine managerial.",1,3901691609,gpt-5.4,openai,exposure
0.88,0.34,"Role directly uses statistical forecasting and advanced data analysis; managerial judgment, process improvement, and cross-functional leadership reduce automability.",1,3900945314,gpt-5.4,openai,exposure
0.03,0.18,Hands-on mechanical diagnostics and repairs; minimal AI/data use beyond basic computer tools and reporting.,1,3888973740,gpt-5.4,openai,exposure
0.08,0.42,"Writes engineering manuals with teams; little direct AI work mentioned, but documentation tasks are partly routine, not mostly automatable.",1,3902784814,gpt-5.4,openai,exposure
0.32,0.46,"Data analytics experience is central, but no explicit AI/ML. Analysis, budgeting, and market tasks are partly automatable, not mostly routine.",1,3900945058,gpt-5.4,openai,exposure
0.03,0.28,"Sales, relationship management, and advising growers dominate; no AI/data-science duties mentioned, and interpersonal judgment limits automation.",1,3906200470,gpt-5.4,openai,exposure
0.03,0.42,"Accounting, budgeting, close, and analysis role; mentions systems/process improvement, but no AI/data-science work.",1,3884937037,gpt-5.4,openai,exposure
0.03,0.72,"Manual assembly role using digital instructions; no AI/data tasks mentioned, but repetitive production tasks are relatively automatable.",1,3901364791,gpt-5.4,openai,exposure
0.03,0.82,"Clerical QA document processing and data review; no AI/ML duties mentioned, and tasks are largely routine and digitizable.",1,3903462780,gpt-5.4,openai,exposure
0.18,0.42,"Operates and tests autonomous tractors, but work is hands-on mechanical, safety-driving, transport, and site maintenance.",1,3902788275,gpt-5.4,openai,exposure
0.02,0.58,"Administrative customer service, order entry, purchasing coordination, and support tasks; no AI/data-science duties mentioned.",1,3904582563,gpt-5.4,openai,exposure
0.03,0.18,"Environmental asset management and sustainability planning are human judgment-heavy; no AI, ML, or data-science duties mentioned.",1,3898157584,gpt-5.4,openai,exposure
0.01,0.18,"Manual driving, equipment maintenance, and seasonal outdoor farm work; no AI/data tasks mentioned.",1,3889762099,gpt-5.4,openai,exposure
0.03,0.28,Sales/account management role; little direct AI use. Relationship-building and negotiation reduce automability despite some admin/reporting tasks.,1,3905295631,gpt-5.4,openai,exposure
0.02,0.62,"Logistics coordination uses carrier systems and scheduling, not AI methods; many tracking and administrative tasks are structured and partly automatable.",1,3905299409,gpt-5.4,openai,exposure
0.01,0.62,"Heavy-haul driving, inspections, and compliance tasks; no AI/data work mentioned, but many duties are structured and partly automatable.",1,3887493009,gpt-5.4,openai,exposure
0.02,0.78,"Clerical customer-service, order entry, and inventory tasks use standard software; little to no direct AI/ML involvement.",1,3887596395,gpt-5.4,openai,exposure
0.08,0.18,"Hands-on equipment diagnostics and repair; little explicit AI/data-science work, and physical nonroutine tasks limit automation.",1,3904583427,gpt-5.4,openai,exposure
0.02,0.78,"Administrative coordination, document processing, proofreading, and tracking are routine office tasks; no AI/ML or data-science duties mentioned.",1,3884436884,gpt-5.4,openai,exposure
0.03,0.18,"Hands-on agricultural equipment repair and diagnostics; minimal AI/data work, substantial physical, variable tasks limit automation.",1,3888973764,gpt-5.4,openai,exposure
0.08,0.18,"Field agronomy, trials, evaluations, training, and liaison work; little explicit AI/data-science, low routine automability.",1,3900947166,gpt-5.4,openai,exposure
0.01,0.18,"Plant operations supervision, safety, staffing, budgeting, and coordination; little AI use, many nonroutine people-management tasks.",1,3905294916,gpt-5.4,openai,exposure
0.03,0.42,"Traditional senior accounting, reporting, analysis, and ad hoc projects; little AI involvement, but some reporting tasks are software-automatable.",1,3884928659,gpt-5.4,openai,exposure
0.02,0.18,"Agricultural relationship management, field monitoring, training, and contracts; little AI use, substantial in-person judgment and coordination.",1,3903475910,gpt-5.4,openai,exposure
0.02,0.72,"Manual warehouse, inventory, shipping, forklift tasks; no AI/ML duties mentioned, but many processes are structured and repetitive.",1,3905329900,gpt-5.4,openai,exposure
0.03,0.22,"Commodity trading, negotiation, relationship management, and market judgment dominate; no explicit AI/data-science duties, limited routine automation potential.",1,3905295630,gpt-5.4,openai,exposure
0.12,0.28,"Field research, equipment operation, supervision, and experiment support dominate; some data collection/remote sensing but little explicit AI use.",1,3901946857,gpt-5.4,openai,exposure
0.01,0.08,"Hands-on facility, grounds, and event setup work; little AI/data use and low full automation feasibility.",1,3901698266,gpt-5.4,openai,exposure
0.12,0.18,"Business development and relationship management role; mentions enterprise data but no AI work, and core tasks are nonroutine.",1,3904376378,gpt-5.4,openai,exposure
0.03,0.12,"Executive sales/marketing leadership role; strategic planning, training, incentives, and partnerships, with no explicit AI or data-science duties.",1,3901652587,gpt-5.4,openai,exposure
0.08,0.72,"Mostly data entry, organizing, reporting, note-taking, and liaison work; no explicit AI/ML development or use.",1,3904514229,gpt-5.4,openai,exposure
0.03,0.62,"Clerical customer-service tasks use standard software, not AI; many order, inventory, and communication duties are routine and partly automatable.",1,3902745796,gpt-5.4,openai,exposure
0.03,0.28,"Commodity trading, risk management, and relationship-building dominate; little explicit AI/data-science work, and core tasks require human judgment.",1,3906203101,gpt-5.4,openai,exposure
0.08,0.62,"HR admin/support role using HR systems and reporting; little AI work, but many structured, repetitive coordination tasks.",1,3903881656,gpt-5.4,openai,exposure
0.02,0.34,"Manual plant operations, equipment handling, inspections, and physical labor; little AI use, only some data entry is automatable.",1,3905295629,gpt-5.4,openai,exposure
0.02,0.18,"HR management and employee relations are people-centric; posting mentions no AI, and core tasks require judgment and interpersonal interaction.",1,3900978229,gpt-5.4,openai,exposure
0.02,0.34,"Supervises packing staff, pacing, sanitation, and food safety; little AI use, but physical oversight limits automation.",1,3901975629,gpt-5.4,openai,exposure
0.02,0.18,"Equipment sales role emphasizes customer relationships and field selling; no AI/data-science duties, limited routine automatable tasks.",1,3901687904,gpt-5.4,openai,exposure
0.02,0.34,"Traditional accounting leadership role; no AI/data-science duties. Some reporting is automatable, but judgment, supervision, and technical research reduce automability.",1,3904953668,gpt-5.4,openai,exposure
0.08,0.22,"Uses climate-control software and production data, but core work is hands-on crop management requiring judgment and oversight.",1,3906067166,gpt-5.4,openai,exposure
0.03,0.42,"Finance analysis and reporting role; no AI/ML mentioned. Some reporting is automatable, but judgment-heavy planning and partnering remain.",1,3901965400,gpt-5.4,openai,exposure
0.02,0.28,"Environmental compliance, inspections, training, and site coordination; little AI use, substantial field judgment and regulatory oversight.",1,3903470944,gpt-5.4,openai,exposure
0.02,0.72,"Administrative support, scheduling, expenses, documents, and travel are routine; no AI/ML or data-science duties mentioned.",1,3900942924,gpt-5.4,openai,exposure
0.01,0.28,"Field equipment operation, maintenance, customer interaction, and supervision; no AI/data-science duties, and physical variability limits automation.",1,3906200467,gpt-5.4,openai,exposure
0.05,0.28,"Operations/lean manufacturing management role; little explicit AI/data science, and core work involves judgment, coordination, and leadership.",1,3901981054,gpt-5.4,openai,exposure
0.02,0.28,"Mechanical maintenance and troubleshooting in a plant; little AI use, substantial hands-on nonroutine physical work.",1,3902750991,gpt-5.4,openai,exposure
0.03,0.42,"Procurement analysis and supplier management use standard systems, not AI; negotiation and judgment reduce full automation potential.",1,3905299407,gpt-5.4,openai,exposure
0.82,0.58,"Role directly uses statistical forecasting, time-series analysis, and analytics tools; recurring process work is substantial but still needs human review.",1,3900945316,gpt-5.4,openai,exposure
0.03,0.22,"Cloud/software engineering role; no AI/ML duties mentioned. Work is complex, varied, and collaborative, limiting automation.",1,3898177736,gpt-5.4,openai,exposure
0.01,0.18,"Field operations leadership, budgeting, contractors, and orchard management; no AI/data-science duties, many nonroutine physical decisions.",1,3905832732,gpt-5.4,openai,exposure
0.03,0.58,"Communications support uses standard digital content tasks, not AI-specific work; many drafting, editing, posting, and design tasks are partly automatable.",1,3884429672,gpt-5.4,openai,exposure
0.01,0.72,"Manual production-line lumber work; no AI/data tasks mentioned, but tasks are repetitive and partly machine-automatable.",1,3901934861,gpt-5.4,openai,exposure
0.03,0.18,"Farm operations leadership, staffing, safety, and planning dominate; little explicit AI/data-science use; core work is nonroutine and people-intensive.",1,3894284013,gpt-5.4,openai,exposure
0.08,0.22,"Strategic product portfolio leadership with cross-functional judgment; mentions data analysis, not AI/ML-specific, and core work is non-routine.",1,3884435283,gpt-5.4,openai,exposure
0.03,0.58,"Recruiting uses ATS and sourcing tools, not AI-specific work; many outreach and scheduling tasks are repetitive but relationship-driven.",1,3895205776,gpt-5.4,openai,exposure
0.03,0.08,"R&D materials engineering posting shows experimental, innovative work; no explicit AI/data-science duties and low routine task content.",1,3905301571,gpt-5.4,openai,exposure
0.03,0.28,"Operations coordination, documentation, and physical plant work; no AI/data-science duties, and substantial manual, variable tasks limit automation.",1,3905298421,gpt-5.4,openai,exposure
0.03,0.18,"Plant leadership and operations management role; no AI/data-science duties, and core work is supervisory, judgment-heavy, nonroutine.",1,3904718114,gpt-5.4,openai,exposure
0.02,0.38,"Plant operations and maintenance with monitoring/recording; no AI or data-science duties, but some routine tasks are automatable.",1,3905854526,gpt-5.4,openai,exposure
0.03,0.22,"Greenhouse/field operations, logistics, and supervising labor; little AI/data-science content, substantial physical and coordination work.",1,3903469659,gpt-5.4,openai,exposure
0.01,0.18,"Local CDL driving and forklift work; no AI/data tasks mentioned. Physical driving, loading, and compliance limit current automation.",1,3904718113,gpt-5.4,openai,exposure
0.03,0.58,"Traditional accounting and reporting role; no AI/data-science duties mentioned, but many tasks are structured and software-processable.",1,3904580438,gpt-5.4,openai,exposure
0.03,0.42,"Quality control lab role; no AI/data-science mentioned. Some testing is routine, but lab judgment and physical work limit automation.",1,3906230156,gpt-5.4,openai,exposure
0.06,0.14,"Executive finance leadership, strategy, stakeholder advising, and team management; data-driven but no explicit AI/ML duties.",1,3891083171,gpt-5.4,openai,exposure
0.02,0.62,"Accounting role with reconciliations, calculations, postings, and settlements; no AI/data-science duties mentioned, many structured tasks are automatable.",1,3901988957,gpt-5.4,openai,exposure
0.01,0.72,"Manual manufacturing, assembly, shipping, and machine operation; no AI/data tasks mentioned, but many repetitive production tasks.",1,3903462777,gpt-5.4,openai,exposure
0.02,0.46,"Administrative coordination and stakeholder support; no AI/data-science duties mentioned, but some scheduling and paperwork are automatable.",1,3905829697,gpt-5.4,openai,exposure
0.03,0.12,"Hands-on diesel repair using diagnostic equipment; little AI/data-science content, and physical troubleshooting is hard to automate.",1,3888012305,gpt-5.4,openai,exposure
0.99,0.12,"Role directly builds and improves LLMs for genomics; research-heavy, specialized modeling work is not mostly routine.",1,3905254737,gpt-5.4,openai,exposure
0.08,0.62,Accounting role supports AI company but duties are standard bookkeeping/close tasks; many are structured and partly automatable.,1,3901911413,gpt-5.4,openai,exposure
0.01,0.18,"Manual driving, inspections, loading, and safety compliance; no AI/data tasks mentioned, and physical real-world work limits automation.",1,3905300338,gpt-5.4,openai,exposure
0.34,0.22,"Data engineering with pipelines, Databricks, ELT, modeling; adjacent to data science but not explicitly AI. Work is technical, varied, low-routine.",1,3904422371,gpt-5.4,openai,exposure
0.03,0.18,"Field investigations, expert judgment, travel, and report writing; no AI/data-science duties mentioned.",1,3905306934,gpt-5.4,openai,exposure
0.08,0.22,"HR M&A analysis, negotiation, due diligence, and strategic recommendations are human judgment-heavy; quantitative work mentioned, but no AI/ML.",1,3903838887,gpt-5.4,openai,exposure
0.03,0.72,"Insurance application processing and underwriting support are structured, repetitive administrative tasks; no explicit AI, ML, or data-science work.",1,3906256510,gpt-5.4,openai,exposure
0.02,0.72,"Clerical customer-service duties use basic office tools, not AI; many routine administrative tasks are readily automatable.",1,3905840110,gpt-5.4,openai,exposure
0.02,0.18,"Relationship sales, strategy, and stakeholder coordination; no AI/data-science duties, and core work is interpersonal, judgment-based.",1,3904389822,gpt-5.4,openai,exposure
0.04,0.28,"Field inspections, judgment, travel, and insured communication dominate; little direct AI/data-science work beyond electronic reporting and software feedback.",1,3894288131,gpt-5.4,openai,exposure
0.03,0.28,"Sales/benefits consulting role uses CRM tools, not AI; core work is relationship-driven and only partly routine.",1,3903185836,gpt-5.4,openai,exposure
0.02,0.18,"Sales, advising, presentations, relationship-building, and client support dominate; no AI/data-science duties mentioned.",1,3901348449,gpt-5.4,openai,exposure
0.08,0.18,"Senior engineering role focused on .NET cloud migration and architecture; no explicit AI/data-science work, tasks are complex and nonroutine.",1,3894287200,gpt-5.4,openai,exposure
